#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:30:15
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10323

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table3:
#Name: VII/235/table3
#Title:	Active galaxies (fainter than -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
    2109	140.13	-62.37	020.7442	 -0.5528	*	SDSS J01229-0033 	01 22 58.6	-00 33 10	O	      	   2	     	    	 	 0.059	S1  	 	19.38	     	     	-18.4	    	    	   2
    2110	249.66	-81.64	020.7454	-31.9033	*	2QZ J012258-3154 	01 22 58.9	-31 54 12	O	      	    	     	    	 	 0.275	S1  	*	19.94	     	-0.47	-21.2	    	 487	 487
    2111	134.54	-48.45	020.7563	+13.7044	*	SDSS J01230+1342 	01 23 01.5	+13 42 16	O	      	   2	     	    	 	 0.113	S1  	 	20.18	     	     	-19.0	    	    	   2
    2112	140.04	-62.14	020.7604	 -0.3239	*	SDSS J01230-0019 	01 23 02.5	-00 19 26	O	      	   2	     	    	 	 0.043	S1  	 	19.12	     	     	-18.0	    	    	   2
    2113	134.24	-47.33	020.7625	+14.8417	*	SDSS J01230+1450 	01 23 03.0	+14 50 30	O	      	   2	     	    	 	 0.196	S1  	 	20.18	     	     	-20.2	    	    	   2
    2114	139.54	-61.23	020.7671	 +0.6194	*	SDSS J01230+0037 	01 23 04.1	+00 37 10	O	      	   2	     	    	 	 0.072	S1  	 	19.88	     	     	-18.3	    	    	   2
    2115	235.68	-82.56	020.7692	-29.7831	*	2QZ J012304-2946 	01 23 04.6	-29 46 59	O	      	    	     	    	 	 0.815	S1  	*	20.85	     	-0.51	-22.9	    	 487	 487
    2116	140.12	-62.24	020.7721	 -0.4261	*	SDSS J01230-0025 	01 23 05.3	-00 25 34	O	      	   2	     	    	 	 0.078	S1  	 	19.82	     	     	-18.6	    	    	   2
    2117	139.57	-61.24	020.7754	 +0.6022	*	SDSS J01231+0036 	01 23 06.1	+00 36 08	O	      	   2	     	    	 	 0.090	S1  	 	19.64	     	     	-19.1	    	    	   2
    2118	139.82	-61.66	020.7879	 +0.1664	*	SDSS J01231+0009 	01 23 09.1	+00 09 59	O	      	   2	     	    	 	 0.121	S1  	 	19.23	     	     	-20.1	    	    	   2
    2119	146.35	-69.83	020.8196	 -8.4225	*	SDSS J01232-0825 	01 23 16.7	-08 25 21	O	      	   2	     	    	 	 0.244	S1  	 	20.23	     	     	-20.7	    	    	   2
    2120	139.84	-61.50	020.8362	 +0.3156	*	SDSS J01233+0018 	01 23 20.7	+00 18 56	O	      	   2	     	    	 	 0.104	S1  	 	20.23	     	     	-18.8	    	    	   2
    2121	240.26	-82.26	020.8367	-30.4544	*	2QZ J012320-3027 	01 23 20.8	-30 27 16	O	      	    	     	    	 	 0.771	S1  	*	20.57	     	-0.55	-22.9	    	 489	 489
    2122	141.19	-63.71	020.8383	 -1.9767	*	UM 319           	01 23 21.2	-01 58 36	O	      	    	     	    	 	 0.016	S2  	 	14.95	 0.81	     	-19.2	1229	1699	2015
    2123	140.36	-62.36	020.8463	 -0.5778	*	SDSS J01233-0034 	01 23 23.1	-00 34 40	O	      	   2	     	    	 	 0.028	S1  	 	19.59	     	     	-16.5	    	    	   2
    2124	228.75	-82.74	020.8467	-28.8811	*	2QZ J012323-2852 	01 23 23.2	-28 52 52	O	      	    	     	    	 	 0.579	S1  	*	20.05	     	-1.01	-22.7	    	 487	 487
    2125	146.47	-69.85	020.8533	 -8.4522	*	SDSS J01234-0827 	01 23 24.8	-08 27 08	O	      	   2	     	    	 	 0.350	S1  	 	21.62	     	     	-20.1	    	    	   2
    2126	139.96	-61.63	020.8567	 +0.1756	*	SDSS J01234+0010 	01 23 25.6	+00 10 32	O	      	   2	     	    	 	 0.341	S1  	 	21.80	     	     	-19.9	    	    	   2
    2127	250.09	-81.49	020.8567	-32.0403	*	2QZ J012325-3202 	01 23 25.6	-32 02 25	O	      	    	     	    	 	 0.256	S1  	*	19.62	     	 1.15	-21.4	    	 487	 487
    2128	235.79	-82.46	020.8754	-29.8297	*	2QZ J012330-2949 	01 23 30.1	-29 49 47	O	      	    	     	    	 	 0.545	S1  	*	20.23	     	-0.29	-22.4	    	 487	 487
    2129	235.65	-82.46	020.8775	-29.8111	*	2QZ J012330-2948 	01 23 30.6	-29 48 40	O	      	    	     	    	 	 0.786	S1  	*	20.62	     	-0.28	-22.9	    	 489	 489
    2130	136.00	-52.53	020.8775	 +9.5300	*	2E 0120+0916     	01 23 30.6	+09 31 48	O	      	    	     	    	 	 0.176	    	*	18.20	 0.50	     	-21.5	 251	1270	1270
    2131	148.79	-71.63	020.8938	-10.3886	*	SDSS J01235-1023 	01 23 34.5	-10 23 19	O	      	   1	     	    	 	 0.317	S1  	 	20.13	     	     	-21.4	    	    	   1
    2132	140.10	-61.74	020.8950	 +0.0544	*	SDSS J01235+0003 	01 23 34.8	+00 03 16	O	      	   2	     	    	 	 0.185	S1  	 	20.12	     	     	-20.2	    	    	   2
    2133	259.69	-80.24	020.9092	-34.0039	*	0121-3425N       	01 23 38.2	-34 00 14	 	      	    	     	    	*	 0.360	    	 	20.10	     	     	-21.7	1757	    	1757
    2134	138.35	-58.10	020.9554	 +3.7989	*	NGC 520.D2       	01 23 49.3	+03 47 56	O	      	    	     	    	 	 0.311	    	O	18.90	     	     	-22.6	  85	    	  85
    2135	139.75	-60.87	020.9592	 +0.9383	*	SDSS J01238+0056 	01 23 50.2	+00 56 18	O	      	   2	     	    	 	 0.203	S1  	 	20.34	     	     	-20.2	    	    	   2
    2136	259.51	-80.21	020.9633	-34.0044	*	0121-3425        	01 23 51.2	-34 00 16	 	      	    	     	    	*	 0.300	    	 	20.20	     	     	-21.2	1757	    	1757
    2137	250.15	-81.37	020.9692	-32.1131	*	2QZ J012352-3206 	01 23 52.6	-32 06 47	O	      	    	     	    	 	 0.732	S1  	*	20.69	     	-0.55	-22.7	    	 487	 487
    2138	148.39	-71.13	020.9721	 -9.8789	*	SDSS J01238-0952 	01 23 53.3	-09 52 44	O	      	   2	     	    	 	 0.588	S1  	 	21.37	     	     	-21.5	    	    	   2
    2139	235.81	-82.37	020.9733	-29.8611	*	2QZ J012353-2951 	01 23 53.6	-29 51 40	O	      	    	     	    	 	 0.681	S1  	*	20.78	     	-1.16	-22.4	    	 487	 487
    2140	263.76	-79.46	020.9767	-35.0656	 	NGC  526A        	01 23 54.4	-35 03 56	O	 0.004	2071	     	    	 	 0.019	S1.9	 	14.60	 0.97	 0.09	-19.7	 789	2113	2283
    2141	140.21	-61.56	020.9921	 +0.2178	*	SDSS J01239+0013 	01 23 58.1	+00 13 04	O	      	   2	     	    	 	 0.267	S1  	 	20.17	     	     	-20.9	    	    	   2
    2142	147.79	-70.55	021.0104	 -9.2714	*	SDSS J01240-0916 	01 24 02.5	-09 16 17	O	      	   2	     	    	 	 0.049	S1  	 	19.58	     	     	-17.8	    	    	   2
    2143	140.67	-62.25	021.0162	 -0.5022	*	SDSS J01240-0030 	01 24 03.9	-00 30 08	O	      	   2	     	    	 	 0.079	S1  	 	19.62	     	     	-18.8	    	    	   2
    2144	257.87	-80.39	021.0242	-33.6792	*	Q 0121-339       	01 24 05.8	-33 40 45	 	      	    	     	    	*	 0.350	    	 	20.20	     	     	-21.5	1757	    	1757
    2145	134.51	-46.92	021.0271	+15.2117	*	SDSS J01241+1512 	01 24 06.5	+15 12 42	O	      	   1	     	    	 	 0.163	S1  	 	19.45	     	     	-20.6	    	    	   1
    2146	140.38	-61.66	021.0404	 +0.0975	*	SDSS J01241+0005 	01 24 09.7	+00 05 51	O	      	   2	     	    	 	 0.149	S1  	 	19.54	     	     	-20.3	    	    	   2
    2147	140.25	-61.45	021.0408	 +0.3200	*	SDSS J01241+0019 	01 24 09.8	+00 19 12	O	      	   2	     	    	 	 0.047	S1  	 	19.03	     	     	-18.2	    	    	   2
    2148	140.74	-62.22	021.0525	 -0.4903	*	SDSS J01242-0029 	01 24 12.6	-00 29 25	O	      	   2	     	    	 	 0.079	S1  	 	18.44	     	     	-20.0	    	    	   2
    2149	140.72	-62.14	021.0679	 -0.4044	*	SDSS J01242-0024 	01 24 16.3	-00 24 16	O	      	   2	     	    	 	 0.062	S1  	 	19.30	     	     	-18.6	    	    	   2
    2150	140.78	-62.24	021.0696	 -0.5089	*	SDSS J01242-0030 	01 24 16.7	-00 30 32	O	      	   2	     	    	 	 0.092	S1  	 	19.62	     	     	-19.1	    	    	   2
    2151	140.35	-61.48	021.0792	 +0.2764	*	SDSS J01243+0016 	01 24 19.0	+00 16 35	O	      	   2	     	    	 	 0.121	S1  	 	19.00	     	     	-20.3	    	    	   2
    2152	140.32	-61.37	021.0929	 +0.3853	*	SDSS J01243+0023 	01 24 22.3	+00 23 07	O	      	   2	     	    	 	 0.132	S1  	 	20.01	     	     	-19.5	    	    	   2
    2153	135.03	-48.37	021.1000	+13.7236	*	SDSS J01243+1343 	01 24 24.0	+13 43 25	O	      	   1	     	    	 	 0.255	S1  	 	19.45	     	     	-21.6	    	    	   1
    2154	139.66	-60.15	021.1004	 +1.6425	*	IRAS 01217+0122  	01 24 24.1	+01 38 33	 	      	    	     	    	 	 0.138	S1  	 	17.30	     	     	-22.3	  67	    	  66
    2155	217.30	-82.66	021.1071	-27.4461	*	2QZ J012425-2726 	01 24 25.7	-27 26 46	O	      	    	     	    	 	 0.499	S1  	*	20.06	     	-1.31	-22.4	    	 487	 487
    2156	130.74	-28.57	021.1117	+33.7994	 	NGC  513         	01 24 26.8	+33 47 58	O	 0.022	 778	 0.04	 579	 	 0.016	S1h 	 	13.40	     	     	-21.5	    	    	2033
    2157	216.01	-82.66	021.1129	-27.2806	*	2QZ J012427-2716 	01 24 27.1	-27 16 50	O	      	    	     	    	 	 0.584	S1  	*	20.58	     	-1.18	-22.2	    	 487	 487
    2158	223.52	-82.60	021.1196	-28.2456	*	2QZ J012428-2814 	01 24 28.7	-28 14 44	O	      	    	     	    	 	 0.799	S1  	*	20.66	     	-0.04	-22.9	    	 487	 487
    2159	140.08	-60.83	021.1212	 +0.9356	*	SDSS J01244+0056 	01 24 29.1	+00 56 08	O	      	   1	     	    	 	 0.381	S1  	 	19.57	     	     	-22.4	    	    	   1
    2160	140.54	-61.62	021.1275	 +0.1117	*	SDSS J01245+0006 	01 24 30.6	+00 06 42	O	      	   2	     	    	 	 0.184	S1  	 	19.99	     	     	-20.3	    	    	   2
    2161	140.10	-60.78	021.1429	 +0.9778	*	SDSS J01245+0058 	01 24 34.3	+00 58 40	O	      	   2	     	    	 	 0.134	S1  	 	20.11	     	     	-19.5	    	    	   2
    2162	138.71	-58.06	021.1471	 +3.7919	*	NGC 520.46       	01 24 35.3	+03 47 31	 	      	    	     	    	 	 0.221	    	 	19.57	     	     	-21.1	  85	    	  85
    2163	141.03	-62.29	021.1638	 -0.5958	*	SDSS J01246-0035 	01 24 39.3	-00 35 45	O	      	   2	     	    	 	 0.120	S1  	 	19.56	     	     	-19.8	    	    	   2
    2164	140.65	-61.65	021.1700	 +0.0728	*	SDSS J01246+0004 	01 24 40.8	+00 04 22	O	      	   2	     	    	 	 0.163	S1  	 	20.21	     	     	-19.8	    	    	   2
    2165	135.04	-48.01	021.1796	+14.0772	*	SDSS J01247+1404 	01 24 43.1	+14 04 38	O	      	   2	     	    	 	 0.057	S1  	 	18.53	     	     	-19.2	    	    	   2
    2166	131.09	-30.18	021.1875	+32.1656	*	MARK  991        	01 24 45.0	+32 09 56	O	 0.028	 191	     	    	 	 0.036	    	 	14.27	 0.79	 0.18	-21.6	1050	1443	1491
    2167	139.41	-59.28	021.1979	 +2.5203	*	Q 0122+0215      	01 24 47.5	+02 31 13	 	      	    	     	    	 	 0.078	    	R	18.68	     	     	-19.1	1795	    	1795
    2168	141.03	-62.17	021.1992	 -0.4786	*	SDSS J01247-0028 	01 24 47.8	-00 28 43	O	      	   2	     	    	 	 0.077	S1  	 	19.02	     	     	-19.3	    	    	   2
    2169	140.22	-60.75	021.2092	 +0.9925	*	SDSS J01248+0059 	01 24 50.2	+00 59 33	O	      	   2	     	    	 	 0.125	S1  	 	20.67	     	     	-18.7	    	    	   2
    2170	140.25	-60.75	021.2254	 +0.9931	*	SDSS J01249+0059 	01 24 54.1	+00 59 35	O	      	   2	     	    	 	 0.232	S1  	 	20.59	     	     	-20.2	    	    	   2
    2171	263.05	-79.29	021.2304	-35.0936	*	0122-353         	01 24 55.3	-35 05 37	 	      	    	     	    	*	 0.340	    	 	19.30	     	     	-22.4	1757	    	1757
    2172	140.32	-60.81	021.2437	 +0.9258	*	SDSS J01249+0055 	01 24 58.5	+00 55 33	O	      	   2	     	    	 	 0.228	S1  	 	20.41	     	     	-20.3	    	    	   2
    2173	290.51	-64.95	021.2508	-51.3656	*	RXS J01250-5137  	01 25 00.2	-51 21 56	O	      	    	     	    	 	 0.050	S1  	 	16.98	     	     	-20.4	    	    	1811
    2174	141.43	-62.59	021.2612	 -0.9292	*	SDSS J01250-0055 	01 25 02.7	-00 55 45	O	      	   2	     	    	 	 0.199	S1  	 	19.74	     	     	-20.7	    	    	   2
    2175	140.31	-60.72	021.2629	 +1.0142	*	SDSS J01250+0100 	01 25 03.1	+01 00 51	O	      	   2	     	    	 	 0.302	S1  	 	20.60	     	     	-20.8	    	    	   2
    2176	141.15	-62.08	021.2750	 -0.4086	*	SDSS J01251-0024 	01 25 06.0	-00 24 31	O	      	   2	     	    	 	 0.016	S1  	 	19.97	     	     	-14.9	    	    	   2
    2177	231.17	-82.27	021.2792	-29.2936	*	2QZ J012506-2917 	01 25 07.0	-29 17 37	O	      	    	     	    	 	 0.540	S1  	*	20.80	     	-0.85	-21.8	    	 487	 487
    2178	150.20	-71.69	021.2796	-10.6275	*	SDSS J01251-1037 	01 25 07.1	-10 37 39	O	      	   2	     	    	 	 0.159	S1  	 	18.98	     	     	-21.0	    	    	   2
    2179	150.12	-71.63	021.2808	-10.5606	*	SDSS J01251-1033 	01 25 07.4	-10 33 38	O	      	   1	     	    	 	 0.290	S1  	 	19.76	     	     	-21.5	    	    	   1
    2180	141.19	-62.13	021.2842	 -0.4569	*	SDSS J01251-0027 	01 25 08.2	-00 27 25	O	      	   2	     	    	 	 0.056	S1  	 	19.84	     	     	-17.8	    	    	   2
    2181	262.59	-79.31	021.2900	-35.0208	*	0122-352         	01 25 09.6	-35 01 15	 	      	    	     	    	*	 0.380	    	 	19.90	     	     	-22.0	1757	    	1757
    2182	134.94	-47.08	021.2929	+15.0044	*	SDSS J01251+1500 	01 25 10.3	+15 00 16	O	      	   2	     	    	 	 0.222	S1  	 	19.82	     	     	-20.9	    	    	   2
    2183	140.78	-61.37	021.3046	 +0.3264	*	SDSS J01252+0019 	01 25 13.1	+00 19 35	O	      	   2	     	    	 	 0.072	S1  	 	19.49	     	     	-18.7	    	    	   2
    2184	217.62	-82.49	021.3083	-27.4897	*	6QZ J012514-2729 	01 25 14.0	-27 29 23	O	      	    	     	    	 	 0.147	S1  	*	17.90	     	-1.23	-21.9	    	 489	 489
    2185	140.68	-61.17	021.3142	 +0.5303	*	SDSS J01252+0031 	01 25 15.4	+00 31 49	O	      	   2	     	    	 	 0.176	S1  	 	20.31	     	     	-19.9	    	    	   2
    2186	139.08	-58.16	021.3142	 +3.6525	*	1WGA J0125.2+0339	01 25 15.4	+03 39 09	O	      	    	     	    	 	 0.312	    	R	18.90	     	     	-22.0	1320	    	1320
    2187	140.77	-61.29	021.3204	 +0.4058	*	SDSS J01252+0024 	01 25 16.9	+00 24 21	O	      	   2	     	    	 	 0.077	S1  	 	18.48	     	     	-19.9	    	    	   2
    2188	260.63	-79.62	021.3267	-34.5494	*	0123-348         	01 25 18.4	-34 32 58	 	      	    	     	    	*	 0.220	    	 	20.10	     	     	-20.6	1757	    	1757
    2189	140.54	-60.86	021.3321	 +0.8467	*	SDSS J01253+0050 	01 25 19.7	+00 50 48	O	      	   2	     	    	 	 0.061	S1  	 	19.45	     	     	-18.4	    	    	   2
    2190	231.55	-82.21	021.3392	-29.3608	*	2QZ J012521-2921 	01 25 21.4	-29 21 39	O	      	    	     	    	 	 0.536	S1  	*	19.75	     	-0.39	-22.9	    	 487	 487
    2191	239.21	-81.84	021.3471	-30.4819	*	2QZ J012523-3028 	01 25 23.3	-30 28 55	O	      	    	     	    	 	 0.455	S1  	*	20.37	     	-0.68	-21.9	    	 489	 489
    2192	139.49	-58.77	021.3658	 +3.0031	*	UM 103           	01 25 27.8	+03 00 11	O	      	    	     	    	 	 0.045	S2  	 	17.00	     	     	-20.2	1233	    	2129
    2193	140.88	-61.28	021.3733	 +0.3953	*	SDSS J01254+0023 	01 25 29.6	+00 23 43	O	      	   2	     	    	 	 0.082	S1  	 	19.45	     	     	-19.0	    	    	   2
    2194	141.85	-62.83	021.3762	 -1.2150	*	SDSS J01255-0112 	01 25 30.3	-01 12 54	O	      	   2	     	    	 	 0.137	S1  	 	21.21	     	     	-18.4	    	    	   2
    2195	240.02	-81.77	021.3771	-30.6172	*	2QZ J012530-3037 	01 25 30.5	-30 37 02	O	      	    	     	    	 	 0.689	S1  	*	20.62	     	-0.41	-22.6	    	 489	 489
    2196	260.10	-79.65	021.3788	-34.4606	*	0123-347         	01 25 30.9	-34 27 38	 	      	    	     	    	*	 0.360	    	 	19.70	     	     	-22.1	1757	    	1757
    2197	131.28	-30.18	021.3808	+32.1364	 	MARK  993        	01 25 31.4	+32 08 11	O	 0.002	 597	     	    	 	 0.017	S1.5	 	13.96	 1.05	 0.27	-20.0	1286	1443	2035
    2198	225.20	-82.32	021.4092	-28.5017	*	2QZ J012538-2830 	01 25 38.2	-28 30 06	O	      	    	     	    	 	 0.571	S1  	*	20.83	     	-0.35	-21.9	    	 487	 487
    2199	150.72	-71.73	021.4137	-10.7308	*	SDSS J01256-1043 	01 25 39.3	-10 43 51	O	      	   1	     	    	 	 0.286	S1  	 	19.62	     	     	-21.7	    	    	   1
    2200	148.94	-70.41	021.4287	 -9.2861	*	SDSS J01257-0917 	01 25 42.9	-09 17 10	O	      	   2	     	    	 	 0.032	S1  	 	18.68	     	     	-17.7	    	    	   2
    2201	139.83	-59.18	021.4317	 +2.5575	*	Q 0123+0217      	01 25 43.6	+02 33 27	 	      	    	     	    	 	 0.060	    	R	17.42	     	     	-19.8	1795	    	1795
    2202	261.52	-79.33	021.4458	-34.8686	*	0123-3511        	01 25 47.0	-34 52 07	 	      	    	     	    	*	 0.340	    	 	20.60	     	     	-21.1	1757	    	1757
    2203	141.48	-61.98	021.4542	 -0.3558	*	SDSS J01258-0021 	01 25 49.0	-00 21 21	O	      	   2	     	    	 	 0.048	S1  	 	19.17	     	     	-18.1	    	    	   2
    2204	140.71	-60.68	021.4600	 +1.0000	*	SDSS J01258+0100 	01 25 50.4	+01 00 00	O	      	   2	     	    	 	 0.209	S1  	 	20.54	     	     	-20.0	    	    	   2
    2205	135.69	-48.73	021.4675	+13.2911	*	SDSS J01258+1317 	01 25 52.2	+13 17 28	O	      	   2	     	    	 	 0.250	S1  	 	19.75	     	     	-21.2	    	    	   2
    2206	148.41	-69.89	021.4679	 -8.7361	*	SDSS J01258-0844 	01 25 52.3	-08 44 10	O	      	   2	     	    	 	 0.417	S1  	 	19.80	     	     	-22.3	    	    	   2
    2207	140.81	-60.75	021.4883	 +0.9228	*	SDSS J01259+0055 	01 25 57.2	+00 55 22	O	      	   2	     	    	 	 0.228	S1  	 	22.15	     	     	-18.6	    	    	   2
    2208	135.13	-46.75	021.4917	+15.3033	*	RX  J01259+1518  	01 25 58.0	+15 18 12	O	      	    	     	    	 	 0.111	S1  	 	17.50	     	     	-21.7	    	    	 675
    2209	256.79	-80.03	021.4967	-33.7694	*	0123-3401        	01 25 59.2	-33 46 10	 	      	    	     	    	*	 0.340	    	 	19.50	     	     	-22.2	1757	    	1757
    2210	149.40	-70.49	021.5354	 -9.4253	*	SDSS J01261-0925 	01 26 08.5	-09 25 31	O	      	   1	     	    	 	 0.469	S1  	 	19.49	     	     	-22.9	    	    	   1
    2211	232.21	-81.99	021.5475	-29.5019	*	2QZ J012611-2930 	01 26 11.4	-29 30 07	O	      	    	     	    	 	 0.713	S1  	*	20.38	     	-0.81	-22.9	    	 489	 489
    2212	135.50	-47.68	021.5554	+14.3369	*	SDSS J01262+1420 	01 26 13.3	+14 20 13	O	      	   1	     	    	 	 0.573	S1  	 	20.04	     	     	-22.7	    	    	   1
    2213	140.95	-60.70	021.5667	 +0.9453	*	SDSS J01262+0056 	01 26 16.0	+00 56 43	O	      	   2	     	    	 	 0.141	S1  	 	19.69	     	     	-20.0	    	    	   2
    2214	141.27	-61.17	021.5862	 +0.4569	*	SDSS J01263+0027 	01 26 20.7	+00 27 25	O	      	   2	     	    	 	 0.079	S1  	 	19.57	     	     	-18.8	    	    	   2
    2215	141.21	-61.06	021.5875	 +0.5619	*	SDSS J01263+0033 	01 26 21.0	+00 33 43	O	      	   2	     	    	 	 0.121	S1  	 	20.05	     	     	-19.3	    	    	   2
    2216	141.65	-61.76	021.5954	 -0.1642	*	SDSS J01263-0009 	01 26 22.9	-00 09 51	O	      	   2	     	    	 	 0.074	S1  	 	19.20	     	     	-19.1	    	    	   2
    2217	131.62	-30.66	021.6400	+31.6164	*	MARK  358        	01 26 33.6	+31 36 59	O	      	    	     	    	 	 0.042	S1.0	 	15.23	 0.79	-0.32	-21.0	1277	1071	1485
    2218	223.90	-82.13	021.6417	-28.3508	*	2QZ J012633-2821 	01 26 34.0	-28 21 03	O	      	    	     	    	 	 0.545	S1  	*	20.30	     	-1.04	-22.4	    	 487	 487
    2219	141.57	-61.45	021.6467	 +0.1450	*	SDSS J01265+0008 	01 26 35.2	+00 08 42	O	      	   2	     	    	 	 0.119	S1  	 	19.57	     	     	-19.7	    	    	   2
    2220	141.70	-61.60	021.6604	 -0.0200	*	SDSS J01266-0001 	01 26 38.5	-00 01 12	O	      	   2	     	    	 	 0.209	S1  	 	19.69	     	     	-20.9	    	    	   2
    2221	142.21	-62.31	021.6858	 -0.7681	*	SDSS J01267-0046 	01 26 44.6	-00 46 05	O	      	   2	     	    	 	 0.183	S1  	 	19.59	     	     	-20.7	    	    	   2
    2222	141.50	-61.19	021.6887	 +0.4014	*	SDSS J01267+0024 	01 26 45.3	+00 24 05	O	      	   2	     	    	 	 0.150	S1  	 	19.84	     	     	-20.0	    	    	   2
    2223	142.15	-62.19	021.6942	 -0.6461	*	SDSS J01267-0038 	01 26 46.6	-00 38 46	O	      	   2	     	    	 	 0.006	S1  	 	18.02	     	     	-14.8	    	    	   2
    2224	148.94	-69.73	021.7004	 -8.6633	*	SDSS J01268-0839 	01 26 48.1	-08 39 48	O	      	   1	     	    	 	 0.198	S1  	 	19.09	     	     	-21.4	    	    	   1
    2225	142.25	-62.25	021.7221	 -0.7169	*	SDSS J01268-0043 	01 26 53.3	-00 43 01	O	      	   2	     	    	 	 0.164	S1  	 	19.99	     	     	-20.0	    	    	   2
    2226	141.08	-60.36	021.7225	 +1.2517	*	SDSS J01268+0115 	01 26 53.4	+01 15 06	O	      	   2	     	    	 	 0.148	S1  	 	19.64	     	     	-20.2	    	    	   2
    2227	135.39	-46.45	021.7325	+15.5658	*	SDSS J01269+1533 	01 26 55.8	+15 33 57	O	      	   1	     	    	 	 0.375	S1  	 	19.56	     	     	-22.3	    	    	   1
    2228	141.16	-60.42	021.7471	 +1.1906	*	SDSS J01269+0111 	01 26 59.3	+01 11 26	O	      	   2	     	    	 	 0.232	S1  	 	20.07	     	     	-20.7	    	    	   2
    2229	141.24	-60.41	021.7850	 +1.1853	*	SDSS J01271+0111 	01 27 08.4	+01 11 07	O	      	   2	     	    	 	 0.082	S1  	 	19.18	     	     	-19.3	    	    	   2
    2230	294.06	-58.15	021.7862	-58.3544	*	ESO 113-G48      	01 27 08.7	-58 21 16	 	      	    	     	    	 	 0.047	H2  	 	15.10	     	     	-22.2	  79	    	2114
    2231	141.31	-60.43	021.8108	 +1.1531	*	SDSS J01272+0109 	01 27 14.6	+01 09 11	O	      	   2	     	    	 	 0.083	S1  	 	18.54	     	     	-20.0	    	    	   2
    2232	136.22	-48.70	021.8237	+13.2411	*	SDSS J01272+1314 	01 27 17.7	+13 14 28	O	      	   1	     	    	 	 0.244	S1  	 	19.57	     	     	-21.3	    	    	   1
    2233	135.61	-46.67	021.8429	+15.3119	*	SDSS J01273+1518 	01 27 22.3	+15 18 43	O	      	   1	     	    	 	 0.620	S1  	 	20.73	     	     	-22.2	    	    	   1
    2234	217.63	-82.00	021.8596	-27.4969	*	2QZ J012726-2729 	01 27 26.3	-27 29 49	O	      	    	     	    	 	 0.336	S1  	*	19.38	     	-0.60	-22.3	    	 487	 487
