#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:31:30
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10681

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table1:
#Name: VII/235/table1
#Title:	Quasars (brighter than absolute magnitude -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
    2857	318.61	-83.13	010.6321	-33.7269	*	Q 0040-3400A     	00 42 31.7	-33 43 37	 	      	    	     	    	*	 2.610	    	*	19.35	     	     	-27.6	    	    	 970
    2858	355.43	-87.54	010.6379	-28.6072	*	2GZ J004233-2836 	00 42 33.1	-28 36 26	O	      	    	     	    	 	 2.200	    	 	19.19	     	     	-26.9	    	    	 412
    2859	306.21	-65.26	010.6400	-51.8158	*	HE 0040-5205     	00 42 33.6	-51 48 57	O	      	    	     	    	 	 0.962	    	O	16.80	     	     	-27.3	    	    	2296
    2860	018.11	-87.97	010.6408	-27.6308	*	2QZ J004233-2737 	00 42 33.8	-27 37 51	O	      	    	     	    	 	 1.921	    	*	20.79	     	-1.05	-25.0	    	 489	 489
    2861	318.53	-83.12	010.6413	-33.7331	*	Q 0040-3400B     	00 42 33.9	-33 43 59	 	      	    	     	    	*	 1.850	    	*	17.22	     	     	-28.5	    	    	 970
    2862	119.78	-47.28	010.6421	+15.5392	*	SDSS J00425+1532 	00 42 34.1	+15 32 21	O	      	   1	     	    	 	 1.654	    	 	19.61	     	     	-25.8	    	    	   1
    2863	324.46	-84.86	010.6421	-31.8892	*	2QZ J004234-3153 	00 42 34.1	-31 53 21	O	      	    	     	    	 	 2.062	    	*	19.46	     	-0.14	-26.6	    	 487	 487
    2864	315.64	-81.75	010.6463	-35.1606	*	Q 0040-3526      	00 42 35.1	-35 09 38	 	      	    	     	    	*	 2.370	    	*	19.61	     	     	-26.9	    	    	 970
    2865	350.46	-87.38	010.6542	-28.8789	*	2QZ J004237-2852 	00 42 37.0	-28 52 44	O	      	    	     	    	 	 0.774	    	*	19.91	     	 0.00	-23.6	    	 487	 487
    2866	310.80	-77.48	010.6542	-39.5128	*	Q 0040-3947      	00 42 37.0	-39 30 46	O	      	    	     	    	 	 2.250	    	O	19.10	     	     	-27.1	1143	    	1143
    2867	119.68	-48.97	010.6592	+13.8486	*	SDSS J00426+1350 	00 42 38.2	+13 50 55	O	      	   1	     	    	 	 1.772	    	 	20.27	     	     	-25.3	    	    	   1
    2868	119.70	-48.63	010.6600	+14.1819	*	SDSS J00426+1410 	00 42 38.4	+14 10 55	O	      	   1	     	    	 	 1.881	    	 	20.71	     	     	-25.0	    	    	   1
    2869	016.07	-87.97	010.6650	-27.7000	*	Q 0040-279       	00 42 39.6	-27 42 00	O	      	    	     	    	 	 3.230	    	*	19.18	 0.83	     	-28.0	    	2180	2180
    2870	119.72	-48.56	010.6696	+14.2581	*	SDSS J00426+1415 	00 42 40.7	+14 15 29	O	      	   1	     	    	 	 3.722	    	 	20.32	     	     	-28.7	    	    	   1
    2871	318.53	-83.21	010.6696	-33.6556	 	Q 0040-3356      	00 42 40.7	-33 39 20	O	      	 196	     	    	 	 2.060	    	O	19.00	     	     	-27.0	1143	    	1143
    2872	324.27	-84.89	010.6713	-31.8733	*	2QZ J004241-3152 	00 42 41.1	-31 52 24	O	      	    	     	    	 	 2.770	    	*	20.39	     	-0.13	-26.8	    	 487	 487
    2873	119.68	-49.11	010.6721	+13.7114	*	SDSS J00426+1342 	00 42 41.3	+13 42 41	O	      	   1	     	    	 	 1.780	    	 	19.19	     	     	-26.4	    	    	   1
    2874	118.21	-62.42	010.6746	 +0.3706	*	SDSSp J00426+0022	00 42 41.9	+00 22 14	O	      	1802	     	    	 	 2.050	    	 	19.01	     	     	-27.0	    	    	1802
    2875	119.71	-48.90	010.6750	+13.9139	*	SDSS J00427+1354 	00 42 42.0	+13 54 50	O	      	   1	     	    	 	 1.623	    	 	17.57	     	     	-27.8	    	    	   1
    2876	065.91	-87.66	010.6754	-25.8358	*	Q 0040-2606      	00 42 42.1	-25 50 09	O	      	    	     	    	*	 2.470	    	R	18.90	     	     	-27.2	    	    	 583
    2877	330.25	-85.91	010.6783	-30.7422	*	Q 0040-3100      	00 42 42.8	-30 44 32	O	      	    	     	    	 	 0.517	    	*	18.47	     	     	-24.1	    	    	 487
    2878	118.16	-62.76	010.6792	 +0.0339	*	PB 6120          	00 42 43.0	+00 02 02	O	      	1802	     	    	 	 1.082	    	 	18.19	     	     	-26.2	    	    	1802
    2879	309.01	-74.61	010.6800	-42.4150	*	Q 0040-4241      	00 42 43.2	-42 24 54	 	      	    	     	    	*	 2.370	    	*	19.16	     	     	-27.4	    	    	 970
    2880	313.18	-80.16	010.6829	-36.7947	*	Q 0040-3703      	00 42 43.9	-36 47 41	O	      	    	     	    	 	 2.723	    	*	17.85	 0.18	-0.16	-29.1	1143	 484	  82
    2881	355.94	-87.61	010.6833	-28.5514	*	2QZ J004244-2833 	00 42 44.0	-28 33 05	O	      	    	     	    	 	 1.358	    	*	20.25	     	-0.59	-24.7	    	 489	 489
    2882	317.89	-82.99	010.6837	-33.8869	*	Q 0040-3409      	00 42 44.1	-33 53 13	 	      	    	     	    	*	 2.320	    	*	19.65	     	     	-26.8	    	    	 970
    2883	314.81	-81.38	010.6854	-35.5494	*	Q 0040-3549      	00 42 44.5	-35 32 58	 	      	    	     	    	*	 1.910	    	*	19.09	     	     	-26.7	    	    	 970
    2884	310.55	-77.28	010.6858	-39.7158	*	Q 0040-3959      	00 42 44.6	-39 42 57	 	      	    	     	    	*	 1.930	    	*	20.12	     	     	-25.7	    	    	 970
    2885	025.86	-88.06	010.6958	-27.3500	*	Q 0040-2737      	00 42 47.0	-27 21 00	O	      	    	     	    	 	 2.428	    	R	20.00	     	     	-26.0	    	    	 487
    2886	119.90	-46.65	010.6958	+16.1731	*	SDSS J00427+1610 	00 42 47.0	+16 10 23	O	      	   1	     	    	 	 1.456	    	 	19.55	     	     	-25.6	    	    	   1
    2887	326.08	-85.31	010.7004	-31.4256	*	Q 0040-3142      	00 42 48.1	-31 25 32	O	      	    	     	    	 	 2.136	    	*	19.29	     	     	-26.8	    	    	 487
    2888	340.83	-86.94	010.7017	-29.5247	*	2QZ J004248-2931 	00 42 48.4	-29 31 29	O	      	    	     	    	 	 1.314	    	*	20.62	     	-0.78	-24.3	    	 489	 489
    2889	019.37	-88.03	010.7021	-27.5731	*	2QZ J004248-2734 	00 42 48.5	-27 34 23	O	      	    	     	    	 	 1.276	    	*	19.93	     	-0.44	-24.9	    	 487	 487
    2890	018.42	-88.03	010.7083	-27.6053	*	2QZ J004250-2736 	00 42 50.0	-27 36 19	O	      	    	     	    	 	 0.478	    	*	19.29	     	-0.29	-23.1	    	 489	 489
    2891	318.71	-83.39	010.7088	-33.4733	*	Q 0040-3344      	00 42 50.1	-33 28 24	 	      	    	     	    	*	 2.430	    	*	19.89	     	     	-26.7	    	    	 970
    2892	118.13	-63.41	010.7096	 -0.6153	*	SDSSp J00428-0036	00 42 50.3	-00 36 55	O	      	1802	     	    	 	 1.334	    	 	19.20	     	     	-25.7	    	    	1802
    2893	015.99	-88.01	010.7125	-27.6908	*	2QZ J004251-2741 	00 42 51.0	-27 41 27	O	      	    	     	    	 	 2.658	    	*	19.95	     	-0.24	-27.0	    	 489	 489
    2894	309.40	-75.57	010.7137	-41.4508	*	Q 0040-4143      	00 42 51.3	-41 27 03	 	      	    	     	    	*	 2.100	    	*	18.10	     	     	-28.0	    	    	 970
    2895	333.74	-86.38	010.7146	-30.2217	*	2QZ J004251-3013 	00 42 51.5	-30 13 18	O	      	    	     	    	 	 1.735	    	*	19.84	     	 0.22	-25.7	    	 487	 487
    2896	119.90	-47.22	010.7221	+15.5969	*	SDSS J00428+1535 	00 42 53.3	+15 35 49	O	      	   1	     	    	 	 1.337	    	 	20.26	     	     	-24.7	    	    	   1
    2897	118.10	-63.71	010.7229	 -0.9183	*	PHL 2896         	00 42 53.5	-00 55 06	O	      	1802	     	    	 	 1.885	    	 	19.13	     	     	-26.6	    	    	1802
    2898	320.14	-83.93	010.7233	-32.9125	*	Q 0040-3311      	00 42 53.6	-32 54 45	 	      	    	     	    	*	 2.040	    	*	19.15	     	     	-26.9	    	    	 970
    2899	115.77	-72.88	010.7242	-10.1261	*	SDSS J00428-1007 	00 42 53.8	-10 07 34	O	      	   1	     	    	 	 0.520	    	 	19.52	     	     	-23.0	    	    	   1
    2900	327.20	-85.55	010.7250	-31.1669	*	Q 0040-3126      	00 42 54.0	-31 10 01	 	      	    	     	    	*	 2.350	    	*	19.24	     	     	-27.3	    	    	 970
    2901	021.95	-88.07	010.7250	-27.4794	*	2QZ J004254-2728 	00 42 54.0	-27 28 46	O	      	    	     	    	 	 0.682	    	*	19.32	     	-0.27	-23.9	    	 487	 487
    2902	118.03	-64.22	010.7304	 -1.4267	*	UM 268           	00 42 55.3	-01 25 36	O	      	    	     	    	*	 1.660	    	O	19.30	     	     	-26.1	1231	    	1231
    2903	342.07	-87.06	010.7329	-29.3894	*	2QZ J004255-2923 	00 42 55.9	-29 23 22	O	      	    	     	    	 	 1.192	    	*	20.06	     	-1.20	-24.6	    	 487	 487
    2904	312.42	-79.71	010.7392	-37.2586	*	Q 0040-3731      	00 42 57.4	-37 15 31	O	      	    	     	    	 	 1.780	    	*	17.79	 0.39	-0.69	-27.4	    	 484	 484
    2905	318.62	-83.44	010.7400	-33.4239	*	Q 0040-3341      	00 42 57.6	-33 25 26	 	      	    	     	    	*	 2.120	    	*	20.08	     	     	-26.0	    	    	 970
    2906	313.24	-80.44	010.7404	-36.5136	*	Q 0040-3647      	00 42 57.7	-36 30 49	 	      	    	     	    	*	 2.790	    	*	18.87	     	     	-28.3	    	    	 970
    2907	115.64	-73.36	010.7413	-10.6047	*	SDSS J00429-1036 	00 42 57.9	-10 36 17	O	      	   1	     	    	 	 1.532	    	 	20.15	     	     	-25.1	    	    	   1
    2908	309.34	-75.62	010.7412	-41.3983	*	Q 0040-4140      	00 42 57.9	-41 23 54	 	      	    	     	    	*	 2.870	    	*	20.05	     	     	-27.3	    	    	 970
    2909	105.93	-83.21	010.7433	-20.6203	 	PKS 0040-208     	00 42 58.4	-20 37 13	O	 0.182	 787	 0.34	2157	 	 0.656	S1  	O	16.90	     	     	-26.2	1027	    	 121
    2910	310.61	-77.66	010.7438	-39.3383	*	Q 0040-3936      	00 42 58.5	-39 20 18	 	      	    	     	    	*	 1.980	    	*	20.17	     	     	-25.7	    	    	 970
    2911	332.64	-86.32	010.7471	-30.3100	*	2QZ J004259-3018 	00 42 59.3	-30 18 36	O	      	    	     	    	 	 2.082	    	*	20.58	     	-0.79	-25.5	    	 487	 487
    2912	334.12	-86.47	010.7496	-30.1283	 	Q 0040-3024      	00 42 59.9	-30 07 42	O	      	 196	     	    	 	 0.609	    	*	17.93	     	-0.89	-25.0	    	 484	1416
    2913	341.00	-87.02	010.7504	-29.4578	*	2QZ J004300-2927 	00 43 00.1	-29 27 28	O	      	    	     	    	 	 1.033	    	*	20.53	     	-0.47	-23.8	    	 489	 489
    2914	005.06	-87.90	010.7517	-28.0958	*	Q 0040-283       	00 43 00.4	-28 05 45	O	      	    	     	    	 	 2.330	    	*	18.96	-0.07	 0.09	-27.6	    	2180	2180
    2915	310.43	-77.44	010.7517	-39.5622	*	Q 0040-3950      	00 43 00.4	-39 33 44	 	      	    	     	    	*	 1.980	    	*	19.66	     	     	-26.2	    	    	 970
    2916	335.44	-86.60	010.7521	-29.9778	*	2QZ J004300-2958 	00 43 00.5	-29 58 40	O	      	    	     	    	 	 2.281	    	*	20.19	     	 0.00	-26.0	    	 487	 487
    2917	102.96	-84.26	010.7529	-21.7194	*	KUV 00405-2200   	00 43 00.7	-21 43 10	O	      	    	     	    	 	 0.712	    	O	17.20	     	     	-26.1	1107	    	 503
    2918	324.81	-85.19	010.7554	-31.5800	*	Q 0040-3151      	00 43 01.3	-31 34 48	 	      	    	     	    	*	 1.980	    	*	16.95	     	     	-28.9	    	    	 970
    2919	310.88	-78.09	010.7571	-38.9122	*	Q 0040-3911A     	00 43 01.7	-38 54 44	O	      	    	     	    	*	 1.880	    	O	18.40	     	     	-27.3	    	    	 583
    2920	025.89	-88.12	010.7579	-27.3433	*	2QZ J004301-2720 	00 43 01.9	-27 20 36	O	      	    	     	    	 	 1.694	    	*	20.17	     	-1.19	-25.3	    	 489	 489
    2921	328.01	-85.75	010.7587	-30.9644	*	2QZ J004302-3057 	00 43 02.1	-30 57 52	O	      	    	     	    	 	 2.284	    	*	20.44	     	-0.39	-25.8	    	 487	 487
    2922	308.70	-74.43	010.7587	-42.6000	*	Q 0040-4252      	00 43 02.1	-42 36 00	O	      	    	     	    	*	 2.070	    	O	19.40	     	     	-26.6	    	    	 583
    2923	322.45	-84.70	010.7700	-32.1125	*	2QZ J004304-3206 	00 43 04.8	-32 06 45	O	      	    	     	    	 	 0.929	    	*	19.91	     	-0.56	-24.1	    	 487	 487
    2924	315.24	-81.95	010.7700	-34.9825	*	Q 0040-3515      	00 43 04.8	-34 58 57	 	      	    	     	    	*	 1.870	    	*	18.27	     	     	-27.5	    	    	 970
    2925	327.59	-85.70	010.7700	-31.0167	*	Q 0040-3117      	00 43 04.8	-31 01 00	O	      	    	     	    	 	 2.445	    	*	19.33	     	     	-27.3	    	    	 487
    2926	314.76	-81.66	010.7733	-35.2747	*	Q 0040-3532      	00 43 05.6	-35 16 29	 	      	    	     	    	*	 2.100	    	*	19.28	     	     	-26.8	    	    	 970
    2927	339.09	-86.93	010.7737	-29.5956	*	2QZ J004305-2935 	00 43 05.7	-29 35 44	O	      	    	     	    	 	 1.433	    	*	20.28	     	-0.26	-24.8	    	 487	 487
    2928	310.18	-77.21	010.7754	-39.8000	*	Q 0040-4004      	00 43 06.1	-39 48 00	 	      	    	     	    	*	 2.650	    	*	19.70	     	     	-27.2	    	    	 970
    2929	308.66	-74.44	010.7767	-42.5925	*	Q 0040-4251      	00 43 06.4	-42 35 33	 	      	    	     	    	*	 1.950	    	*	18.33	     	     	-27.5	    	    	 970
    2930	309.36	-75.88	010.7804	-41.1469	*	Q 0040-4125      	00 43 07.3	-41 08 49	O	      	    	     	    	*	 1.530	    	O	18.80	     	     	-26.5	    	    	 583
    2931	333.88	-86.50	010.7817	-30.1119	*	Q 0040-303       	00 43 07.6	-30 06 43	O	      	    	     	    	 	 3.030	    	*	19.89	 0.06	 0.42	-27.7	    	2180	2180
    2932	311.48	-78.93	010.7821	-38.0586	*	Q 0040-3819      	00 43 07.7	-38 03 31	O	      	    	     	    	*	 2.160	    	O	19.10	     	     	-27.0	    	    	 583
    2933	313.83	-81.07	010.7821	-35.8858	*	Q 0040-3609      	00 43 07.7	-35 53 09	 	      	    	     	    	*	 2.870	    	*	19.65	     	     	-27.7	    	    	 970
    2934	341.82	-87.12	010.7846	-29.3556	*	Q 0040-2937      	00 43 08.3	-29 21 20	O	      	    	     	    	*	 2.190	    	O	19.90	     	     	-26.3	    	    	 583
    2935	346.57	-87.37	010.7854	-29.0153	*	Q 0040-2917      	00 43 08.5	-29 00 55	O	      	    	     	    	 	 2.087	    	R	17.46	     	     	-28.2	    	1852	1416
    2936	313.68	-80.96	010.7854	-35.9922	*	Q 0040-3615      	00 43 08.5	-35 59 32	 	      	    	     	    	*	 2.200	    	*	20.14	     	     	-26.0	    	    	 970
    2937	118.57	-61.60	010.7871	 +1.2050	*	SDSSp J00431+0112	00 43 08.9	+01 12 18	O	      	1802	     	    	 	 1.191	    	 	19.32	     	     	-25.3	    	    	1802
    2938	311.33	-78.79	010.7883	-38.2028	*	Q 0040-3828      	00 43 09.2	-38 12 10	O	      	    	     	    	*	 2.630	    	R	19.30	     	     	-27.0	    	    	 583
    2939	310.46	-77.69	010.7904	-39.3203	*	Q 0040-3935      	00 43 09.7	-39 19 13	 	      	    	     	    	*	 2.000	    	*	18.14	     	     	-27.8	    	    	 970
    2940	334.84	-86.61	010.7929	-29.9889	*	Q 0040-3015A     	00 43 10.3	-29 59 20	O	      	    	     	    	*	 2.840	    	R	18.40	     	     	-28.1	    	    	 583
    2941	120.02	-46.97	010.7946	+15.8522	*	SDSS J00431+1551 	00 43 10.7	+15 51 08	O	      	   1	     	    	 	 1.610	    	 	19.02	     	     	-26.3	    	    	   1
    2942	334.89	-86.62	010.7954	-29.9803	*	Q 0040-3015B     	00 43 10.9	-29 58 49	O	      	    	     	    	 	 2.127	    	O	20.60	     	     	-25.5	    	    	 487
    2943	322.04	-84.66	010.7958	-32.1625	*	2QZ J004310-3209 	00 43 11.0	-32 09 45	O	      	    	     	    	 	 2.310	    	*	19.94	     	-0.06	-26.5	    	 487	 487
    2944	328.65	-85.91	010.7962	-30.7956	*	2QZ J004311-3047 	00 43 11.1	-30 47 44	O	      	    	     	    	 	 1.175	    	*	19.13	     	-0.38	-25.5	    	 487	 487
    2945	116.04	-72.83	010.7979	-10.0736	*	SDSS J00431-1004 	00 43 11.5	-10 04 25	O	      	   1	     	    	 	 1.276	    	 	19.69	     	     	-25.1	    	    	   1
    2946	309.68	-76.55	010.7992	-40.4731	*	Q 0040-4044      	00 43 11.8	-40 28 23	 	      	    	     	    	*	 2.610	    	*	19.95	     	     	-27.0	    	    	 970
    2947	321.48	-84.53	010.8046	-32.2978	*	Q 0040-3234      	00 43 13.1	-32 17 52	 	      	    	     	    	*	 1.870	    	*	18.63	     	     	-27.1	    	    	 970
    2948	345.71	-87.36	010.8058	-29.0539	*	Q 0040-2919      	00 43 13.4	-29 03 14	O	      	    	     	    	 	 0.627	    	*	18.37	     	-0.77	-24.6	    	 484	 487
    2949	308.99	-75.31	010.8063	-41.7192	*	Q 0040-4159      	00 43 13.5	-41 43 09	 	      	    	     	    	*	 1.900	    	*	19.72	     	     	-26.1	    	    	 970
    2950	311.69	-79.28	010.8079	-37.7067	*	Q 0040-3758      	00 43 13.9	-37 42 24	 	      	    	     	    	*	 2.680	    	*	19.58	     	     	-27.4	    	    	 970
    2951	348.04	-87.47	010.8112	-28.9000	*	Q 0040-2910      	00 43 14.7	-28 54 00	O	      	    	     	    	*	 2.290	    	 	20.00	     	     	-26.2	    	    	 583
    2952	309.22	-75.80	010.8112	-41.2286	*	Q 0040-4130      	00 43 14.7	-41 13 43	 	      	    	     	    	*	 2.020	    	*	19.72	     	     	-26.3	    	    	 970
    2953	118.63	-61.56	010.8129	 +1.2458	*	PB 6130          	00 43 15.1	+01 14 45	O	      	1802	     	    	 	 1.563	    	 	17.85	     	     	-27.5	    	    	1802
    2954	343.34	-87.25	010.8187	-29.2064	*	2QZ J004316-2912 	00 43 16.5	-29 12 23	O	      	    	     	    	 	 1.479	    	*	20.64	     	-0.73	-24.6	    	 489	 489
    2955	118.49	-62.63	010.8204	 +0.1692	*	SDSSp J00432+0010	00 43 16.9	+00 10 09	O	      	1802	     	    	 	 1.518	    	 	18.83	     	     	-26.4	    	    	1802
    2956	120.05	-47.03	010.8217	+15.7981	*	SDSS J00432+1547 	00 43 17.2	+15 47 53	O	      	   1	     	    	 	 2.334	    	 	19.78	     	     	-26.7	    	    	   1
    2957	346.03	-87.39	010.8221	-29.0181	*	2QZ J004317-2901 	00 43 17.3	-29 01 05	O	      	    	     	    	 	 2.152	    	*	20.37	     	-0.96	-25.8	    	 487	 487
    2958	309.20	-75.82	010.8221	-41.2072	*	Q 0040-4128      	00 43 17.3	-41 12 26	 	      	    	     	    	*	 1.930	    	*	19.80	     	     	-26.0	    	    	 970
    2959	334.13	-86.59	010.8225	-30.0267	*	Q 0040-3018      	00 43 17.4	-30 01 36	O	      	    	     	    	 	 0.495	    	*	18.34	     	-1.04	-24.1	    	 484	 487
    2960	021.14	-88.16	010.8279	-27.4900	*	2QZ J004318-2729 	00 43 18.7	-27 29 24	O	      	    	     	    	 	 2.160	    	*	20.56	     	-0.17	-25.6	    	 489	 489
    2961	332.19	-86.41	010.8279	-30.2472	*	2QZ J004318-3014 	00 43 18.7	-30 14 50	O	      	    	     	    	 	 2.139	    	*	20.53	     	-0.77	-25.6	    	 487	 487
    2962	118.62	-61.95	010.8325	 +0.8544	 	UM 269           	00 43 19.8	+00 51 16	O	      	2144	     	    	 	 0.308	    	 	18.00	     	     	-23.4	1231	    	1802
    2963	324.09	-85.21	010.8333	-31.5789	*	2QZ J004320-3134 	00 43 20.0	-31 34 44	O	      	    	     	    	 	 0.674	    	*	18.84	     	-0.66	-24.3	    	 487	 487
    2964	120.04	-47.57	010.8367	+15.2519	*	SDSS J00433+1515 	00 43 20.8	+15 15 07	O	      	   1	     	    	 	 1.117	    	 	20.05	     	     	-24.4	    	    	   1
    2965	346.63	-87.44	010.8396	-28.9633	*	2QZ J004321-2857 	00 43 21.5	-28 57 48	O	      	    	     	    	 	 1.078	    	*	20.69	     	-0.21	-23.7	    	 489	 489
    2966	310.56	-78.09	010.8421	-38.9208	*	Q 0040-3911B     	00 43 22.1	-38 55 15	 	      	    	     	    	*	 2.200	    	*	19.35	     	     	-26.8	    	    	 970
    2967	118.48	-63.03	010.8433	 -0.2289	 	FIRST J00433-0013	00 43 22.4	-00 13 44	O	      	 165	     	    	 	 1.590	    	 	19.11	     	     	-26.2	    	    	 165
    2968	310.32	-77.77	010.8433	-39.2383	*	Q 0040-3930      	00 43 22.4	-39 14 18	O	      	    	     	    	*	 1.700	    	O	18.80	     	     	-26.7	    	    	 583
    2969	047.32	-88.14	010.8442	-26.6517	 	CT  29           	00 43 22.6	-26 39 06	O	 0.081	 787	     	    	 	 1.003	    	*	17.34	     	-0.52	-26.9	 339	 484	2306
    2970	015.98	-88.14	010.8462	-27.6575	*	2QZ J004323-2739 	00 43 23.1	-27 39 27	O	      	    	     	    	 	 1.067	    	*	20.41	     	-0.29	-24.0	    	 489	 489
    2971	118.49	-63.07	010.8475	 -0.2644	*	SDSSp J00433-0015	00 43 23.4	-00 15 52	O	      	1802	     	    	 	 2.806	    	 	18.52	     	     	-28.8	    	    	1802
    2972	326.50	-85.69	010.8488	-31.0656	*	2QZ J004323-3103 	00 43 23.7	-31 03 56	O	      	    	     	    	 	 1.895	    	*	19.69	     	-0.75	-26.1	    	 487	 487
    2973	341.00	-87.16	010.8500	-29.3511	*	2QZ J004323-2921 	00 43 24.0	-29 21 04	O	      	    	     	    	 	 1.105	    	*	20.60	     	-0.44	-23.9	    	 489	 489
    2974	116.00	-73.42	010.8517	-10.6561	*	SDSS J00434-1039 	00 43 24.4	-10 39 22	O	      	   1	     	    	 	 1.681	    	 	19.14	     	     	-26.3	    	    	   1
    2975	112.20	-79.64	010.8533	-16.9328	*	RXS J00434-1655  	00 43 24.8	-16 55 58	O	      	    	     	    	 	 0.331	S1  	O	15.60	     	     	-26.0	    	    	1811
    2976	349.62	-87.59	010.8550	-28.7703	*	2QZ J004325-2846 	00 43 25.2	-28 46 13	O	      	    	     	    	 	 1.205	    	*	20.76	     	-0.56	-23.9	    	 489	 489
    2977	332.63	-86.50	010.8550	-30.1539	*	2QZ J004325-3009 	00 43 25.2	-30 09 14	O	      	    	     	    	 	 1.748	    	*	19.55	     	-0.68	-26.0	    	 487	 487
    2978	336.26	-86.84	010.8625	-29.7514	*	2QZ J004327-2945 	00 43 27.0	-29 45 05	O	      	    	     	    	 	 1.272	    	*	20.38	     	-0.80	-24.4	    	 489	 489
    2979	334.78	-86.72	010.8637	-29.9003	*	2QZ J004327-2954 	00 43 27.3	-29 54 01	O	      	    	     	    	 	 1.630	    	*	20.48	     	-0.18	-24.9	    	 487	 487
    2980	309.67	-76.90	010.8667	-40.1261	*	Q 0041-4023      	00 43 28.0	-40 07 34	O	      	    	     	    	 	 2.476	    	R	18.18	     	     	-27.9	1143	1852	1114
    2981	319.08	-83.99	010.8708	-32.8892	*	Q 0041-3309      	00 43 29.0	-32 53 21	 	      	    	     	    	*	 1.970	    	*	19.49	     	     	-26.4	    	    	 970
    2982	116.50	-72.28	010.8779	 -9.5044	*	SDSS J00435-0930 	00 43 30.7	-09 30 16	O	      	   1	     	    	 	 2.146	    	 	19.21	     	     	-26.9	    	    	   1
    2983	325.89	-85.65	010.8783	-31.1206	*	Q 0041-3123      	00 43 30.8	-31 07 14	 	      	    	     	    	*	 2.830	    	*	18.94	     	     	-28.4	    	    	 970
    2984	350.14	-87.63	010.8787	-28.7222	*	2QZ J004330-2843 	00 43 30.9	-28 43 20	O	      	    	     	    	 	 2.347	    	*	20.73	     	-0.68	-25.8	    	 489	 489
    2985	311.52	-79.44	010.8821	-37.5511	*	Q 0041-3749      	00 43 31.7	-37 33 04	 	      	    	     	    	*	 2.080	    	*	20.03	     	     	-26.0	    	    	 970
