#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9028
#Name: IX/28A
#Title:	ROSAT HRI Pointed Observations (1RXH) (ROSAT Team, 2000)
#Table	IX_28A_hricat:
#Name: IX/28A/hricat
#Title:	ROSAT Source Catalog of Pointed Observations with the High Resolution Imager (1RXH)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_1RXH	(I2)	? Number of sources sharing a common 1RXH name        (link)	[ucd=NOTE]
#Column	1RXH	(A21)	Name of catalogued detection        (link)	[ucd=ID_MAIN]
#Column	ErrPos	(I3)	Total positional error	[ucd=ERROR]
#Column	CRate	(E9.2)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	e_CRate	(E8.1)	? Mean error on CRate	[ucd=ERROR]
#Column	varFlag	(A1)	[NTP] Source variability	[ucd=CODE_VARIAB]
#Column	SRCflags	(A13)	[.cdefiu_mnpavw] Source flags	[ucd=CODE_MISC]
#Column	SEQflags	(A8)	[.DABEFMS_+] Sequence flags	[ucd=CODE_MISC]
#Column	Comment	(A5)	Source comment	[ucd=REMARKS]
#Column	begDate	(A10)	Observation start date	[ucd=TIME_DATE]
#Column	RAJ2000	(F8.4)	Source Right Ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	n_1RXH	1RXH	ErrPos	CRate	e_CRate	varFlag	SRCflags	SEQflags	Comment	begDate	RAJ2000	DEJ2000
   97458	 9.55291	074.83	-07.42	312.3163	+32.0348	  	1RXH J204915.9+320205	  4	 5.25e-02	 3.3e-03	N	..efi._m.pav.	..B.F.._	     	1997-05-22	312.3163	+32.0348
   97553	 9.62199	074.83	-07.50	312.3921	+31.9840	  	1RXH J204934.1+315902	  7	 1.24e-01	 6.3e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3921	+31.9840
   97797	 9.78854	074.83	-07.70	312.5735	+31.8619	  	1RXH J205017.6+315142	  7	 4.43e-03	 1.9e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-12	312.5735	+31.8619
   97539	 9.60607	074.83	-07.48	312.3767	+31.9963	  	1RXH J204930.4+315946	  3	 5.98e-02	 3.3e-03	N	..e.i._..pav.	..B.F..+	     	1997-05-22	312.3767	+31.9963
   97525	 9.59324	074.83	-07.47	312.3632	+32.0059	  	1RXH J204927.1+320021	  4	 7.45e-02	 4.2e-03	N	..efi._m.pav.	..B.F.._	     	1996-10-30	312.3632	+32.0059
   97481	 9.56654	074.83	-07.44	312.3348	+32.0258	  	1RXH J204920.3+320132	  6	 5.99e-02	 4.2e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3348	+32.0258
   97537	 9.60434	074.83	-07.48	312.3766	+31.9981	  	1RXH J204930.3+315953	  4	 6.16e-02	 3.3e-03	N	..e.iu_..pav.	..B.F.._	     	1997-05-22	312.3766	+31.9981
   97160	 9.34437	074.83	-07.17	312.0920	+32.1906	  	1RXH J204822.0+321126	 13	 1.86e-02	 2.4e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.0920	+32.1906
   97540	 9.60056	074.83	-07.48	312.3776	+32.0024	  	1RXH J204930.6+320008	  5	 1.00e-01	 5.5e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3776	+32.0024
   95355	 5.09092	074.83	+00.88	304.2057	+36.9639	  	1RXH J201649.3+365749	  5	 5.43e-03	 8.4e-04	N	.d..iu_..p.v.	.....M._	     	1994-11-12	304.2057	+36.9639
   95353	 5.09061	074.83	+00.88	304.2043	+36.9651	  	1RXH J201649.0+365754	  3	 5.26e-03	 8.2e-04	N	.....u_.n....	.....M._	     	1994-11-12	304.2043	+36.9651
   97663	 9.68950	074.83	-07.59	312.4747	+31.9371	  	1RXH J204953.9+315613	  3	 1.49e-01	 5.5e-03	N	.defi._m.pav.	..B.F.._	     	1996-10-30	312.4747	+31.9371
   97543	 9.60098	074.83	-07.48	312.3791	+32.0024	  	1RXH J204930.9+320008	  6	 1.02e-01	 5.5e-03	N	..e.iu_..pav.	..B.FM._	     	1996-05-13	312.3791	+32.0024
   95354	 5.08991	074.83	+00.88	304.2051	+36.9655	  	1RXH J201649.2+365755	  2	 5.55e-03	 8.2e-04	N	......_.n....	.....M._	     	1994-11-12	304.2051	+36.9655
   97707	 9.71715	074.84	-07.62	312.5106	+31.9186	  	1RXH J205002.5+315507	  4	 1.96e-02	 2.8e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5106	+31.9186
   97431	 9.52439	074.84	-07.39	312.3017	+32.0607	  	1RXH J204912.4+320338	  5	 4.12e-02	 3.5e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3017	+32.0607
   97319	 9.45792	074.84	-07.32	312.2299	+32.1101	  	1RXH J204855.1+320636	  7	 2.28e-02	 2.6e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.2299	+32.1101
   97204	 9.37138	074.84	-07.21	312.1379	+32.1751	  	1RXH J204833.1+321030	  7	 2.02e-02	 2.4e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.1379	+32.1751
   97812	 9.77885	074.84	-07.70	312.5830	+31.8751	  	1RXH J205019.9+315230	  6	 5.75e-03	 2.0e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-12	312.5830	+31.8751
   97423	 9.51412	074.84	-07.39	312.2967	+32.0701	  	1RXH J204911.2+320412	  5	 4.08e-02	 3.4e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.2967	+32.0701
   97533	 9.58331	074.85	-07.47	312.3743	+32.0197	  	1RXH J204929.8+320111	  4	 1.07e-01	 5.2e-03	N	..e.i._..pav.	..B.F..+	     	1996-10-30	312.3743	+32.0197
   97219	 9.37835	074.85	-07.23	312.1504	+32.1713	  	1RXH J204836.0+321016	  7	 2.07e-02	 2.4e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.1504	+32.1713
   97452	 9.52599	074.85	-07.40	312.3133	+32.0624	  	1RXH J204915.1+320344	  5	 1.62e-01	 7.5e-03	N	.defi._m.p.v.	..B.F.._	     	1996-10-30	312.3133	+32.0624
   97879	 9.80460	074.85	-07.73	312.6158	+31.8578	  	1RXH J205027.8+315128	  7	 3.36e-03	 1.8e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-12	312.6158	+31.8578
   97527	 9.57190	074.85	-07.46	312.3666	+32.0295	  	1RXH J204927.9+320146	  4	 7.11e-02	 3.7e-03	N	..efi._m.pav.	..B.F.._	     	1997-05-22	312.3666	+32.0295
   97720	 9.71473	074.85	-07.63	312.5216	+31.9245	  	1RXH J205005.1+315528	  4	 1.44e-02	 2.6e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5216	+31.9245
   97296	 9.42085	074.85	-07.28	312.2044	+32.1419	  	1RXH J204849.0+320830	  4	 2.72e-02	 2.7e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.2044	+32.1419
   97640	 9.65344	074.85	-07.55	312.4582	+31.9704	  	1RXH J204949.9+315813	  5	 3.12e-02	 3.8e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.4582	+31.9704
   97535	 9.57599	074.85	-07.46	312.3748	+32.0276	  	1RXH J204929.9+320139	  5	 7.65e-02	 4.7e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3748	+32.0276
   98182	 9.97089	074.85	-07.93	312.8002	+31.7383	  	1RXH J205112.0+314417	  9	 7.29e-03	 1.9e-03	N	..efiu_m.pav.	..B.F.._	     	1996-05-13	312.8002	+31.7383
   97685	 9.68885	074.85	-07.60	312.4979	+31.9448	  	1RXH J204959.4+315641	  4	 1.92e-02	 3.0e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.4979	+31.9448
   97518	 9.55919	074.85	-07.44	312.3576	+32.0403	  	1RXH J204925.8+320225	  4	 1.43e-01	 6.5e-03	N	.defi._m.pav.	..B.F.._	     	1996-10-30	312.3576	+32.0403
   97505	 9.55385	074.85	-07.44	312.3530	+32.0446	  	1RXH J204924.7+320240	  5	 5.91e-02	 4.1e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3530	+32.0446
   98186	 9.97082	074.86	-07.93	312.8047	+31.7398	  	1RXH J205113.1+314423	  7	 7.79e-03	 1.9e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-13	312.8047	+31.7398
   97493	 9.54138	074.86	-07.43	312.3459	+32.0557	  	1RXH J204923.0+320320	  5	 5.13e-02	 3.9e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3459	+32.0557
   98044	 9.90445	074.86	-07.85	312.7376	+31.7894	  	1RXH J205057.0+314721	  6	 3.34e-02	 3.3e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-13	312.7376	+31.7894
   97294	 9.40958	074.86	-07.27	312.2023	+32.1532	  	1RXH J204848.5+320911	  5	 2.65e-02	 2.7e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.2023	+32.1532
   97273	 9.39126	074.86	-07.25	312.1830	+32.1670	  	1RXH J204843.9+321001	  4	 2.92e-02	 2.8e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.1830	+32.1670
   97654	 9.65081	074.86	-07.56	312.4672	+31.9759	  	1RXH J204952.1+315833	  4	 1.67e-01	 6.5e-03	N	.defi._m.pav.	..B.F.._	     	1996-10-30	312.4672	+31.9759
   97470	 9.52088	074.86	-07.40	312.3262	+32.0716	  	1RXH J204918.2+320417	  4	 4.79e-02	 3.7e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3262	+32.0716
   97530	 9.55783	074.86	-07.45	312.3686	+32.0450	  	1RXH J204928.4+320242	  5	 6.39e-02	 4.3e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3686	+32.0450
   97509	 9.54525	074.86	-07.43	312.3557	+32.0545	  	1RXH J204925.3+320316	  5	 5.05e-02	 3.8e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3557	+32.0545
   97479	 9.52258	074.86	-07.41	312.3313	+32.0713	  	1RXH J204919.5+320416	  5	 4.75e-02	 3.7e-03	N	..e.iu_..pav.	..B.FM._	     	1996-05-13	312.3313	+32.0713
   97400	 9.47002	074.86	-07.35	312.2743	+32.1102	  	1RXH J204905.8+320636	  5	 2.64e-02	 2.7e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.2743	+32.1102
   97620	 9.62710	074.87	-07.53	312.4474	+31.9951	  	1RXH J204947.3+315942	  5	 1.38e-01	 6.4e-03	N	.defi._m.pav.	..B.F.._	     	1996-10-30	312.4474	+31.9951
   95321	 5.08487	074.87	+01.23	303.8678	+37.1836	  	1RXH J201528.2+371101	  1	 3.99e-03	 3.9e-04	N	.....u_......	.....M._	     	1994-11-12	303.8678	+37.1836
   95323	 5.08461	074.87	+01.23	303.8680	+37.1838	 2	1RXH J201528.3+371101	  2	 3.92e-03	 3.8e-04	N	.....u_......	.....M._	     	1994-11-12	303.8680	+37.1838
   95322	 5.08456	074.87	+01.23	303.8681	+37.1838	 2	1RXH J201528.3+371101	  1	 3.97e-03	 3.9e-04	N	......_......	.....M.+	     	1994-11-12	303.8681	+37.1838
   97455	 9.50344	074.87	-07.39	312.3141	+32.0865	  	1RXH J204915.3+320511	  5	 3.62e-02	 3.2e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3141	+32.0865
   95324	 5.08418	074.87	+01.23	303.8684	+37.1841	  	1RXH J201528.4+371102	  3	 3.88e-03	 3.8e-04	N	.....u_......	.....M._	     	1994-11-12	303.8684	+37.1841
   95325	 5.08385	074.87	+01.22	303.8692	+37.1840	  	1RXH J201528.6+371102	  5	 4.03e-03	 3.9e-04	N	..e.iu_..p...	.....M._	     	1994-11-12	303.8692	+37.1840
   97463	 9.50724	074.87	-07.39	312.3196	+32.0841	  	1RXH J204916.7+320502	 14	 3.79e-02	 3.3e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.3196	+32.0841
   98030	 9.87947	074.87	-07.83	312.7213	+31.8109	  	1RXH J205053.1+314839	  7	 3.18e-03	 2.1e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-12	312.7213	+31.8109
   97440	 9.49421	074.87	-07.38	312.3057	+32.0938	  	1RXH J204913.3+320537	  4	 3.74e-02	 3.2e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.3057	+32.0938
   97576	 9.58808	074.87	-07.49	312.4081	+32.0247	  	1RXH J204937.9+320128	  7	 8.06e-02	 4.9e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.4081	+32.0247
   97496	 9.53458	074.87	-07.42	312.3506	+32.0643	  	1RXH J204924.1+320351	  7	 7.54e-02	 4.4e-03	N	.defi._m.pav.	..B.F.._	     	1997-05-22	312.3506	+32.0643
   97192	 9.33465	074.87	-07.19	312.1328	+32.2124	  	1RXH J204831.8+321244	 11	 1.31e-02	 2.0e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.1328	+32.2124
   97954	 9.82940	074.87	-07.77	312.6703	+31.8483	  	1RXH J205040.8+315053	  6	 5.53e-03	 2.0e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-12	312.6703	+31.8483
   97528	 9.54740	074.87	-07.44	312.3664	+32.0554	  	1RXH J204927.9+320319	  6	 5.47e-02	 4.1e-03	N	.defi._..pav.	..B.FM._	     	1996-05-13	312.3664	+32.0554
   97489	 9.52319	074.87	-07.41	312.3406	+32.0734	  	1RXH J204921.7+320424	  5	 4.44e-02	 3.7e-03	N	.defi._..pav.	..B.FM._	     	1996-05-13	312.3406	+32.0734
   97776	 9.71561	074.87	-07.64	312.5496	+31.9321	  	1RXH J205011.9+315555	  4	 1.43e-02	 2.6e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5496	+31.9321
   98140	 9.93508	074.87	-07.90	312.7866	+31.7722	  	1RXH J205108.7+314620	  7	 1.11e-02	 2.3e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-13	312.7866	+31.7722
   97279	 9.37856	074.87	-07.24	312.1885	+32.1820	  	1RXH J204845.2+321055	  4	 2.58e-02	 2.6e-03	N	..efi._..pav.	..B.FM._	     	1996-05-13	312.1885	+32.1820
   97819	 9.74267	074.88	-07.67	312.5863	+31.9146	  	1RXH J205020.7+315452	  4	 1.31e-02	 2.4e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5863	+31.9146
   97796	 9.72703	074.88	-07.66	312.5719	+31.9268	  	1RXH J205017.2+315536	  4	 1.63e-02	 2.6e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5719	+31.9268
   97624	 9.61498	074.88	-07.53	312.4512	+32.0091	  	1RXH J204948.2+320032	  6	 2.05e-01	 8.9e-03	N	.defi._m.pav.	..B.F.._	     	1996-10-30	312.4512	+32.0091
   97633	 9.61746	074.88	-07.53	312.4556	+32.0078	  	1RXH J204949.3+320028	  6	 6.20e-02	 4.0e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.4556	+32.0078
   97634	 9.61772	074.88	-07.53	312.4562	+32.0077	  	1RXH J204949.4+320027	  5	 5.47e-02	 4.7e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.4562	+32.0077
   97359	 9.42599	074.88	-07.30	312.2487	+32.1493	  	1RXH J204859.6+320857	  9	 5.49e-02	 4.0e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.2487	+32.1493
   97710	 9.66767	074.88	-07.59	312.5124	+31.9717	  	1RXH J205002.9+315818	  4	 3.06e-02	 3.5e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5124	+31.9717
   98270	 9.97933	074.88	-07.95	312.8476	+31.7444	  	1RXH J205123.4+314439	  6	 8.33e-03	 1.8e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-13	312.8476	+31.7444
   97868	 9.75201	074.88	-07.69	312.6062	+31.9108	  	1RXH J205025.4+315438	  4	 1.56e-02	 2.5e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.6062	+31.9108
   98318	 9.99851	074.88	-07.98	312.8694	+31.7309	  	1RXH J205128.6+314351	  6	 7.94e-03	 1.7e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-13	312.8694	+31.7309
   97513	 9.51997	074.88	-07.42	312.3564	+32.0815	  	1RXH J204925.5+320453	  5	 4.34e-02	 3.5e-03	N	.defi._..pav.	..B.FM._	     	1996-05-13	312.3564	+32.0815
   95335	 5.06198	074.89	+01.21	303.9025	+37.1903	  	1RXH J201536.6+371124	  1	 4.78e-03	 4.0e-04	P	.....u_......	.....M._	     	1994-11-12	303.9025	+37.1903
   95336	 5.06193	074.89	+01.21	303.9026	+37.1903	 3	1RXH J201536.6+371125	  1	 4.73e-03	 4.0e-04	P	......_......	.....M.+	     	1994-11-12	303.9026	+37.1903
   95337	 5.06186	074.89	+01.21	303.9026	+37.1904	 3	1RXH J201536.6+371125	  2	 4.71e-03	 4.0e-04	N	.....u_......	.....M._	     	1994-11-12	303.9026	+37.1904
   95339	 5.06178	074.89	+01.21	303.9032	+37.1901	  	1RXH J201536.7+371124	  5	 4.74e-03	 4.0e-04	N	..e.iu_..p...	.....M._	     	1994-11-12	303.9032	+37.1901
   95338	 5.06163	074.89	+01.21	303.9029	+37.1905	 3	1RXH J201536.6+371125	  3	 4.71e-03	 4.0e-04	N	.....u_......	.....M._	     	1994-11-12	303.9029	+37.1905
   97630	 9.60610	074.89	-07.52	312.4544	+32.0195	  	1RXH J204949.0+320110	  4	 1.71e-01	 7.3e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.4544	+32.0195
   97385	 9.43195	074.89	-07.32	312.2665	+32.1482	  	1RXH J204903.9+320853	  8	 4.71e-02	 3.7e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.2665	+32.1482
   97408	 9.44589	074.89	-07.33	312.2834	+32.1384	  	1RXH J204908.0+320818	  9	 3.72e-02	 3.4e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.2834	+32.1384
   97678	 9.63574	074.89	-07.56	312.4903	+31.9989	  	1RXH J204957.6+315955	  5	 3.95e-02	 3.0e-03	N	..e.i._.npav.	D.BE..._	     	1991-11-06	312.4903	+31.9989
   97705	 9.65003	074.89	-07.58	312.5093	+31.9895	  	1RXH J205002.2+315922	  4	 3.80e-02	 3.9e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5093	+31.9895
   97449	 9.46677	074.90	-07.36	312.3123	+32.1248	  	1RXH J204914.9+320729	  4	 3.14e-02	 2.9e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.3123	+32.1248
   97646	 9.60359	074.90	-07.52	312.4628	+32.0247	  	1RXH J204951.0+320129	  4	 4.12e-02	 2.9e-03	N	.de.i._.npav.	D.BE..._	     	1991-11-06	312.4628	+32.0247
   97766	 9.68023	074.90	-07.61	312.5479	+31.9692	  	1RXH J205011.5+315808	  4	 2.46e-02	 3.2e-03	N	..e.iu_..pav.	..B.F.._	     	1996-05-12	312.5479	+31.9692
   97778	 9.68209	074.90	-07.62	312.5524	+31.9686	  	1RXH J205012.5+315806	  4	 2.66e-02	 3.2e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5524	+31.9686
   97358	 9.39835	074.90	-07.29	312.2472	+32.1781	  	1RXH J204859.3+321041	  5	 5.90e-02	 4.2e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.2472	+32.1781
   98211	 9.93518	074.90	-07.92	312.8280	+31.7853	  	1RXH J205118.7+314707	  9	 9.59e-03	 2.1e-03	N	..e.i._.npav.	..B.F.._	     	1996-05-13	312.8280	+31.7853
   98268	 9.95336	074.90	-07.94	312.8474	+31.7721	  	1RXH J205123.3+314619	  7	 1.03e-02	 2.0e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-13	312.8474	+31.7721
   97586	 9.54810	074.91	-07.46	312.4144	+32.0690	  	1RXH J204939.4+320408	  4	 7.35e-02	 4.6e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.4144	+32.0690
   98047	 9.85382	074.91	-07.82	312.7436	+31.8453	  	1RXH J205058.4+315042	  3	 2.25e-02	 2.9e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.7436	+31.8453
   97847	 9.71556	074.91	-07.66	312.5962	+31.9465	  	1RXH J205023.0+315647	  4	 1.91e-02	 2.8e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5962	+31.9465
   97567	 9.53599	074.91	-07.45	312.4026	+32.0783	  	1RXH J204936.6+320441	  8	 2.96e-02	 2.9e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.4026	+32.0783
   97367	 9.39778	074.91	-07.29	312.2530	+32.1804	  	1RXH J204900.7+321049	  3	 3.55e-02	 3.0e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.2530	+32.1804
   97390	 9.41095	074.91	-07.30	312.2685	+32.1710	  	1RXH J204904.4+321015	  3	 2.82e-02	 2.7e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.2685	+32.1710
   97352	 9.38799	074.91	-07.28	312.2446	+32.1883	  	1RXH J204858.7+321117	  5	 6.32e-02	 4.3e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.2446	+32.1883
   98070	 9.86319	074.91	-07.84	312.7581	+31.8399	  	1RXH J205101.9+315023	  3	 2.76e-02	 3.1e-03	N	..e.i._..pav.	..B.F..+	     	1996-05-12	312.7581	+31.8399
   98066	 9.86068	074.91	-07.83	312.7566	+31.8421	  	1RXH J205101.5+315031	  3	 1.37e-01	 5.5e-03	N	..e.i._..pav.	..B.F..+	     	1996-05-13	312.7566	+31.8421
   98057	 9.85813	074.91	-07.83	312.7540	+31.8440	  	1RXH J205100.9+315038	  3	 1.46e-01	 5.7e-03	N	..e.iu_..pav.	..B.F.._	     	1996-05-13	312.7540	+31.8440
   98279	 9.95109	074.91	-07.94	312.8529	+31.7763	  	1RXH J205124.7+314634	  6	 1.49e-02	 2.2e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-13	312.8529	+31.7763
   97795	 9.68710	074.91	-07.63	312.5713	+31.9691	  	1RXH J205017.1+315808	  4	 2.44e-02	 3.1e-03	N	..e.iu_..pav.	..B.F.._	     	1996-05-12	312.5713	+31.9691
   97803	 9.69155	074.91	-07.64	312.5763	+31.9659	  	1RXH J205018.3+315757	  4	 2.60e-02	 3.1e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5763	+31.9659
   97936	 9.76261	074.91	-07.72	312.6544	+31.9145	  	1RXH J205037.0+315452	  5	 1.24e-02	 2.4e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.6544	+31.9145
   97767	 9.66138	074.92	-07.60	312.5484	+31.9894	  	1RXH J205011.6+315921	  5	 4.88e-02	 3.3e-03	N	..e.i._.npav.	D.BE..._	     	1991-11-06	312.5484	+31.9894
   97804	 9.68640	074.92	-07.63	312.5770	+31.9716	  	1RXH J205018.4+315817	  4	 2.68e-02	 3.2e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5770	+31.9716
   97907	 9.73797	074.92	-07.69	312.6347	+31.9346	  	1RXH J205032.3+315604	  4	 1.84e-02	 2.7e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.6347	+31.9346
   97575	 9.52368	074.92	-07.44	312.4074	+32.0928	  	1RXH J204937.7+320533	  5	 2.61e-02	 2.3e-03	N	..e.i._.npav.	D.BE..._	     	1991-11-06	312.4074	+32.0928
   97805	 9.68165	074.92	-07.63	312.5781	+31.9770	  	1RXH J205018.7+315837	  6	 7.70e-02	 4.8e-03	N	..e.i._.npav.	D.B...._	     	1992-05-22	312.5781	+31.9770
   98166	 9.88445	074.92	-07.87	312.7961	+31.8293	  	1RXH J205111.0+314945	  5	 1.74e-02	 2.9e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.7961	+31.8293
   98176	 9.88700	074.92	-07.87	312.7993	+31.8276	  	1RXH J205111.8+314939	  4	 5.77e-02	 3.8e-03	N	..e.i._..pav.	..B.F..+	     	1996-05-13	312.7993	+31.8276
   97416	 9.41467	074.92	-07.32	312.2914	+32.1738	  	1RXH J204909.9+321025	  3	 2.97e-02	 2.7e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.2914	+32.1738
   97866	 9.70506	074.92	-07.66	312.6056	+31.9606	  	1RXH J205025.3+315738	  5	 1.65e-02	 2.7e-03	N	..e.iu_..pav.	..B.F.._	     	1996-05-12	312.6056	+31.9606
   95348	 5.00719	074.92	+00.99	304.1557	+37.0987	 2	1RXH J201637.3+370555	  1	 3.17e-03	 4.0e-04	P	......_......	.....M.+	     	1994-11-12	304.1557	+37.0987
   95349	 5.00698	074.92	+00.99	304.1558	+37.0989	 2	1RXH J201637.3+370555	  1	 3.08e-03	 3.9e-04	P	.....u_......	.....M._	     	1994-11-12	304.1558	+37.0989
   95350	 5.00659	074.92	+00.99	304.1566	+37.0989	  	1RXH J201637.5+370555	  2	 3.27e-03	 4.0e-04	N	.....u_......	.....M._	     	1994-11-12	304.1566	+37.0989
   95351	 5.00651	074.92	+00.99	304.1566	+37.0990	  	1RXH J201637.5+370556	  4	 3.27e-03	 4.0e-04	N	.....u_......	.....M._	     	1994-11-12	304.1566	+37.0990
   97456	 9.43409	074.92	-07.34	312.3143	+32.1600	  	1RXH J204915.4+320935	  4	 2.44e-02	 2.5e-03	N	..efi._m.pav.	..B.FM._	     	1996-05-13	312.3143	+32.1600
   95352	 5.00538	074.93	+00.99	304.1568	+37.1003	  	1RXH J201637.6+370601	  7	 3.53e-03	 4.1e-04	N	.....u_.n....	.....M._	     	1994-11-12	304.1568	+37.1003
   97811	 9.67931	074.93	-07.63	312.5817	+31.9806	  	1RXH J205019.6+315850	  4	 2.98e-02	 3.3e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.5817	+31.9806
   97709	 9.61385	074.93	-07.55	312.5114	+32.0286	  	1RXH J205002.7+320142	  6	 3.61e-02	 7.7e-03	N	..efiu_m.pav.	..BEF.._	     	1994-04-27	312.5114	+32.0286
   97872	 9.70422	074.93	-07.66	312.6095	+31.9627	  	1RXH J205026.2+315745	  4	 2.08e-02	 2.9e-03	N	..efi._m.pav.	..B.F.._	     	1996-05-12	312.6095	+31.9627
   98168	 9.87924	074.93	-07.86	312.7965	+31.8350	  	1RXH J205111.1+315005	  5	 1.78e-02	 3.0e-03	N	..e.iu_..p...	..B.F.._	     	1996-05-12	312.7965	+31.8350
