#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9030
#Name: IX/30
#Title:	Second ROSAT PSPC Catalog (ROSAT, 2000)
#Table	IX_30_2rxp:
#Name: IX/30/2rxp
#Title:	The 2RXP Catalog
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	Seq	(A16)	ROSAT detection sequence number        (link)	[ucd=ID_NUMBER]
#Column	S	(A1)	[S] for source in "short" catalog        (link)	[ucd=CODE_MISC]
#Column	m_2RXP	(A1)	[a-l] Multiplicity index	[ucd=CODE_MULT_INDEX]
#Column	2RXP	(A16)	2RXP designation (Jhhmmss.s+ddmmss)	[ucd=ID_MAIN]
#Column	Crate	(E10.3)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	SrcFlags	(A13)	[cdefislmnpavw.] Source Flags	[ucd=CODE_MISC]
#Column	RAJ2000	(F8.4)	Source Right ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]
#Column	HR1	(F5.2)	Hardness ratio 1 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]
#Column	HR2	(F5.2)	hardness ratio 2 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	Seq	S	m_2RXP	2RXP	Crate	SrcFlags	RAJ2000	DEJ2000	HR1	HR2
   85114	 5.00282	074.94	+01.12	304.0284	+37.1844	2rp500248a01.003	 	 	J201606.8+371104	 1.477e-02	.d..isl.np.v.	304.0284	+37.1844	 1.02	 1.08
   85115	 4.99410	074.95	+01.12	304.0354	+37.1911	2rp500248n00.002	S	 	J201608.5+371128	 1.919e-02	.d..isl..p.v.	304.0354	+37.1911	 0.90	 1.15
   84085	 7.19171	075.00	+05.92	298.8842	+39.7989	2rp201099n00.016	 	 	J195532.1+394756	 4.759e-03	.d..isl.np.v.	298.8842	+39.7989	 0.69	 0.15
   84109	 6.97510	075.03	+05.65	299.2075	+39.6872	2rp201099n00.019	S	 	J195649.8+394114	 3.187e-03	.............	299.2075	+39.6872	 1.12	 0.04
   84119	 6.90218	075.04	+05.55	299.3179	+39.6475	2rp201099n00.024	 	 	J195716.2+393851	 2.911e-03	...f.sl.n..v.	299.3179	+39.6475	 0.60	-0.21
   84075	 7.30948	075.04	+06.12	298.6883	+39.9397	2rp201099n00.007	S	 	J195445.1+395623	 1.317e-02	.............	298.6883	+39.9397	 0.75	 0.23
   84126	 6.83487	075.06	+05.48	299.4158	+39.6242	2rp201099n00.026	S	 	J195739.8+393727	 4.221e-03	.....sl....v.	299.4158	+39.6242	 0.91	-0.47
   84124	 6.85871	075.06	+05.51	299.3767	+39.6458	2rp201099n00.025	 	 	J195730.4+393845	 1.332e-03	...fislmnp.v.	299.3767	+39.6458	 1.26	 0.09
   84121	 6.87368	075.06	+05.54	299.3529	+39.6572	2rp201099n00.023	S	 	J195724.6+393926	 8.939e-03	....islm.p.v.	299.3529	+39.6572	 0.90	-0.17
   85242	 4.85606	075.07	+00.53	304.7279	+36.9619	2rp500248a01.009	S	 	J201854.7+365743	 2.170e-02	...........v.	304.7279	+36.9619	 0.86	 0.11
   84123	 6.85610	075.08	+05.53	299.3729	+39.6681	2rp201099n00.022	 	 	J195729.4+394005	 2.926e-03	...fislmnp.v.	299.3729	+39.6681	 0.93	-0.38
   84089	 7.06146	075.10	+05.84	299.0442	+39.8464	2rp201099n00.013	 	 	J195610.6+395047	 1.016e-03	........n....	299.0442	+39.8464	 0.81	-1.16
   84935	 5.09124	075.16	+02.47	302.7621	+38.1089	2rp900025n00.015	S	 	J201102.9+380632	 1.797e-02	.d..isl..p.v.	302.7621	+38.1089	 0.49	 0.05
   84417	 6.46513	075.16	+05.05	299.9621	+39.4856	2rp201099n00.027	S	 	J195950.8+392908	 5.194e-02	...........v.	299.9621	+39.4856	 0.12	-0.14
   84141	 6.70798	075.16	+05.40	299.5708	+39.6697	2rp201099n00.021	S	 	J195817.0+394011	 3.728e-03	.d..isl..p.v.	299.5708	+39.6697	 0.09	-0.20
   84947	 5.04704	075.17	+02.37	302.8755	+38.0633	2rp900025n00.016	 	 	J201130.1+380347	 8.367e-03	.d..isl.np.v.	302.8755	+38.0633	-0.07	-0.39
   84112	 6.89556	075.17	+05.68	299.2712	+39.8267	2rp201099n00.014	S	 	J195705.0+394936	 1.366e-02	.............	299.2712	+39.8267	 0.88	-0.24
   84094	 7.02576	075.18	+05.87	299.0675	+39.9339	2rp201099n00.008	 	 	J195616.2+395602	 1.872e-03	.....sl.n..v.	299.0675	+39.9339	 0.82	-0.61
   84101	 6.97306	075.19	+05.80	299.1475	+39.8981	2rp201099n00.010	S	 	J195635.4+395353	 3.162e-03	.....sl....v.	299.1475	+39.8981	 0.97	-0.27
   84097	 7.00282	075.19	+05.84	299.1000	+39.9267	2rp201099n00.009	 	 	J195624.0+395536	 3.601e-03	.....sl.n..v.	299.1000	+39.9267	-0.15	-0.69
   85141	 4.73722	075.19	+00.96	304.3708	+37.3075	2rp500248a01.002	S	 	J201729.0+371827	 3.113e-02	.....sl....v.	304.3708	+37.3075	 1.00	 0.44
   84130	 6.76158	075.20	+05.52	299.4662	+39.7731	2rp201099n00.018	 	 	J195751.9+394623	 1.313e-03	.....sl.n..v.	299.4662	+39.7731	 0.25	-0.20
   84113	 6.87319	075.23	+05.70	299.2846	+39.8839	2rp201099n00.011	 	 	J195708.3+395302	 1.520e-03	........n....	299.2846	+39.8839	 2.48	 0.25
   85132	 4.70793	075.23	+01.11	304.2484	+37.4222	2rp500248a01.001	S	 	J201659.6+372520	 3.618e-02	.....sl....v.	304.2484	+37.4222	 1.15	 0.12
   85133	 4.70416	075.24	+01.10	304.2542	+37.4233	2rp500248n00.001	S	 	J201701.0+372523	 3.425e-02	c...isl..p.v.	304.2542	+37.4233	 0.75	 0.12
   84135	 6.72730	075.24	+05.51	299.5029	+39.8031	2rp201099n00.015	S	 	J195800.7+394811	 2.190e-03	.....sl....v.	299.5029	+39.8031	 0.18	-0.11
   84104	 6.93847	075.29	+05.84	299.1646	+40.0064	2rp201099n00.004	 	 	J195639.5+400023	 1.929e-03	........n....	299.1646	+40.0064	 0.74	-0.40
   84167	 6.62178	075.29	+05.41	299.6475	+39.7914	2rp201099n00.017	 	 	J195835.4+394729	 5.306e-03	.d..isl.np.v.	299.6475	+39.7914	 1.05	-0.05
   84131	 6.73012	075.30	+05.57	299.4767	+39.8794	2rp201099n00.012	 	 	J195754.3+395246	 1.665e-03	........n....	299.4767	+39.8794	 1.01	 0.44
   84091	 7.01010	075.30	+05.95	299.0513	+40.0786	2rp201099n00.003	 	 	J195612.3+400442	 7.092e-03	.d..isl.np.v.	299.0513	+40.0786	 0.72	-0.19
   84129	 6.73417	075.35	+05.63	299.4500	+39.9558	2rp201099n00.006	 	 	J195748.0+395721	 1.048e-03	........n....	299.4500	+39.9558	 0.45	-1.08
   84950	 4.89197	075.36	+02.44	302.9325	+38.2636	2rp900025n00.013	 	 	J201143.8+381549	 5.261e-03	........n....	302.9325	+38.2636	 1.06	-0.17
   84944	 4.86483	075.44	+02.56	302.8542	+38.3994	2rp900025n00.007	S	 	J201125.0+382358	 5.725e-02	.....sl....v.	302.8542	+38.3994	-0.36	-0.21
   84952	 4.82270	075.45	+02.49	302.9459	+38.3689	2rp900025n00.009	 	 	J201147.0+382208	 1.908e-03	........n....	302.9459	+38.3689	 0.24	-0.76
   84157	 6.59598	075.45	+05.53	299.6250	+39.9897	2rp201099n00.005	 	 	J195830.0+395923	 5.450e-03	.d..isl.np.v.	299.6250	+39.9897	 1.01	-0.04
   84961	 4.75490	075.46	+02.32	303.1280	+38.2856	2rp900025n00.012	 	 	J201230.7+381708	 1.327e-03	........n....	303.1280	+38.2856	 4.97	-0.99
   84945	 4.84542	075.46	+02.57	302.8621	+38.4250	2rp900025n00.005	S	 	J201126.9+382530	 3.906e-03	.....sl....v.	302.8621	+38.4250	 0.73	 0.12
   84957	 4.77912	075.47	+02.43	303.0271	+38.3539	2rp900025n00.010	 	 	J201206.5+382114	 3.131e-03	.....sl.n..v.	303.0271	+38.3539	 2.55	 0.54
   84110	 6.86417	075.48	+05.91	299.2159	+40.2050	2rp201099n00.002	S	 	J195651.8+401218	 2.580e-02	.d..isl..p.v.	299.2159	+40.2050	-0.21	-0.14
   84958	 4.76682	075.48	+02.41	303.0504	+38.3494	2rp900025n00.011	 	 	J201212.1+382058	 2.554e-03	.....sl.n..v.	303.0504	+38.3494	 0.56	 0.14
   84951	 4.78154	075.52	+02.54	302.9346	+38.4550	2rp900025n00.002	 	 	J201144.3+382718	 1.982e-03	........n....	302.9346	+38.4550	 1.33	 0.24
   84942	 4.80140	075.54	+02.63	302.8488	+38.5211	2rp900025n00.001	 	 	J201123.7+383116	 2.411e-03	........n....	302.8488	+38.5211	 0.09	-0.32
   84967	 4.65621	075.57	+02.32	303.2000	+38.3756	2rp900025n00.008	 	 	J201248.0+382231	 3.658e-03	........n....	303.2000	+38.3756	 0.81	 0.29
   84959	 4.69333	075.57	+02.43	303.0905	+38.4325	2rp900025n00.004	 	 	J201221.7+382557	 6.518e-03	.....sl.n..v.	303.0905	+38.4325	-0.03	-0.82
   84964	 4.66668	075.58	+02.39	303.1429	+38.4203	2rp900025n00.006	 	 	J201234.3+382513	 1.636e-02	.....sl.n..v.	303.1429	+38.4203	 1.02	-0.84
   84975	 4.55178	075.67	+02.29	303.3033	+38.4419	2rp900025n00.003	 	 	J201312.8+382631	 4.146e-03	........n....	303.3033	+38.4419	 0.91	-0.21
   85113	 4.28885	075.75	+01.67	304.0217	+38.1658	2rp900025n00.014	S	 	J201605.2+380957	 2.024e-01	.............	304.0217	+38.1658	 0.00	 0.00
   85116	 4.27543	075.76	+01.65	304.0479	+38.1633	2rp200062n00.040	S	 	J201611.5+380948	 2.460e-02	.d..isl..p.v.	304.0479	+38.1633	-0.08	-0.17
   85118	 4.26995	075.77	+01.65	304.0508	+38.1689	2rp200057n00.010	S	 	J201612.2+381008	 4.468e-02	.d..isl..p.v.	304.0508	+38.1689	 0.00	 0.00
   84428	 6.26695	075.91	+05.49	299.9754	+40.3644	2rp800622n00.083	S	 	J195954.0+402152	 1.152e-02	.............	299.9754	+40.3644	 1.00	 0.44
   84132	 6.61131	075.93	+05.94	299.4779	+40.6056	2rp800622n00.082	S	 	J195754.7+403619	 9.569e-03	.d..isl..p.v.	299.4779	+40.6056	 0.91	 0.35
   84369	 6.29559	076.03	+05.63	299.9075	+40.5322	2rp701152n00.052	 	 	J195937.8+403156	 4.796e-03	........n....	299.9075	+40.5322	 0.16	-0.36
   84174	 6.46298	076.04	+05.84	299.6683	+40.6494	2rp800622n00.079	 	 	J195840.4+403858	 4.090e-03	........n....	299.6683	+40.6494	 1.08	 0.15
   84244	 6.38091	076.06	+05.75	299.7813	+40.6189	2rp800622n00.081	S	 	J195907.5+403708	 3.156e-03	.............	299.7813	+40.6189	 1.91	-0.10
   85827	 3.89166	076.07	+00.11	305.8825	+37.5461	2rp900158a00.006	 	 	J202331.8+373246	 4.140e-03	.d..isl.np.v.	305.8825	+37.5461	 0.53	 3.96
   85100	 4.05384	076.08	+01.97	303.9421	+38.6042	2rp200062n00.031	S	 	J201546.1+383615	 4.585e-02	.....sl....v.	303.9421	+38.6042	 0.19	 0.12
   84275	 6.35679	076.08	+05.74	299.8108	+40.6364	2rp201099n00.001	S	 	J195914.5+403810	 1.901e-02	.d..isl..p.v.	299.8108	+40.6364	 0.45	 0.17
   84262	 6.36442	076.11	+05.77	299.7954	+40.6756	2rp800622n00.077	 	 	J195910.9+404032	 1.131e-02	...fislmnpav.	299.7954	+40.6756	 0.93	 1.06
   84180	 6.44124	076.12	+05.87	299.6866	+40.7317	2rp800622n00.065	 	 	J195844.7+404354	 7.252e-03	...fislmnpav.	299.6866	+40.7317	 0.29	-0.12
   84248	 6.37198	076.12	+05.79	299.7838	+40.6878	2rp800622n00.075	 	 	J195908.1+404115	 1.133e-02	...fislmnpav.	299.7838	+40.6878	 1.47	 1.15
   84343	 6.29532	076.12	+05.70	299.8908	+40.6469	2rp800622n00.080	 	 	J195933.8+403849	 1.165e-02	...fislmnpav.	299.8908	+40.6469	 1.88	 0.92
   84307	 6.32454	076.13	+05.73	299.8492	+40.6683	2rp800622n00.076	 	 	J195923.7+404006	 1.405e-02	...fislm.pav.	299.8492	+40.6683	 1.05	 0.95
   84311	 6.32270	076.14	+05.74	299.8500	+40.6808	2rp701152n00.050	 	 	J195924.0+404050	 3.054e-02	...fislm.pav.	299.8500	+40.6808	 0.94	 2.12
   84276	 6.35041	076.14	+05.78	299.8108	+40.7003	2rp701152n00.046	 	 	J195914.5+404201	 4.328e-03	...fislmnp.v.	299.8108	+40.7003	 1.00	 0.97
   84193	 6.41852	076.14	+05.86	299.7150	+40.7461	2rp800622n00.061	 	 	J195851.6+404446	 1.492e-02	...fislmnpav.	299.7150	+40.7461	 0.99	 0.90
   84267	 6.35639	076.14	+05.79	299.8017	+40.7097	2rp800622n00.069	S	 	J195912.4+404234	 1.899e-02	....islm.pav.	299.8017	+40.7097	 0.97	 0.96
   85236	 3.82530	076.14	+01.28	304.7171	+38.2717	2rp200062n00.039	S	 	J201852.1+381618	 1.902e-02	.............	304.7171	+38.2717	 0.51	 0.30
   84140	 6.52259	076.14	+05.99	299.5692	+40.8183	2rp800622n00.040	 	 	J195816.6+404906	 6.608e-03	.....sl.n..v.	299.5692	+40.8183	 2.05	 0.40
   84344	 6.29249	076.15	+05.71	299.8913	+40.6711	2rp800622n00.078	 	 	J195933.9+404015	 2.187e-02	...fislmnpav.	299.8913	+40.6711	 1.00	 1.03
   84334	 6.30036	076.15	+05.72	299.8800	+40.6778	2rp701152n00.049	 	 	J195931.2+404039	 4.574e-03	...fislmnpav.	299.8800	+40.6778	 0.99	 1.02
   84218	 6.38780	076.15	+05.83	299.7563	+40.7411	2rp800622n00.062	 	 	J195901.5+404427	 1.678e-02	...fislmnpav.	299.7563	+40.7411	 0.84	 0.52
   85626	 3.77228	076.15	+00.85	305.1767	+38.0344	2rp900158a00.001	S	 	J202042.4+380204	 3.173e-02	.............	305.1767	+38.0344	 0.37	-0.02
   84194	 6.41545	076.16	+05.87	299.7171	+40.7633	2rp800622n00.055	 	 	J195852.1+404548	 1.658e-02	...fislmnpav.	299.7171	+40.7633	 0.99	-0.02
   84158	 6.48146	076.16	+05.95	299.6250	+40.8058	2rp701152n00.022	 	 	J195830.0+404820	 1.508e-02	........n....	299.6250	+40.8058	 0.62	 0.17
   84350	 6.28644	076.16	+05.71	299.8979	+40.6819	2rp800622n00.073	 	 	J195935.5+404054	 1.690e-02	...fislm.pav.	299.8979	+40.6819	 0.94	 0.98
   84399	 6.26476	076.16	+05.68	299.9283	+40.6692	2rp701152n00.051	 	 	J195942.8+404009	 1.308e-02	....isl.n.av.	299.9283	+40.6692	 0.26	 0.96
   84314	 6.31839	076.16	+05.75	299.8525	+40.7061	2rp701152n00.044	 	 	J195924.6+404222	 1.630e-01	..efislm.pav.	299.8525	+40.7061	 1.00	 0.96
   84273	 6.34964	076.16	+05.79	299.8083	+40.7289	2rp701152n00.040	 	 	J195914.0+404344	 4.176e-02	...fislm.pav.	299.8083	+40.7289	 0.98	 0.95
   85749	 3.76002	076.16	+00.51	305.5388	+37.8511	2rp900158a00.004	 	 	J202209.3+375103	 5.824e-03	........n....	305.5388	+37.8511	 2.02	-0.08
   84385	 6.27113	076.16	+05.70	299.9183	+40.6811	2rp701152n00.048	 	 	J195940.4+404052	 3.157e-03	....isl.n.av.	299.9183	+40.6811	 1.06	 1.34
   84258	 6.36067	076.16	+05.81	299.7925	+40.7389	2rp800622n00.064	 	 	J195910.2+404420	 6.048e-02	..efislm.pav.	299.7925	+40.7389	 1.00	 0.97
   84245	 6.36851	076.17	+05.82	299.7813	+40.7458	2rp800622n00.060	 	 	J195907.5+404444	 3.300e-02	...fislm.pav.	299.7813	+40.7458	 0.97	 0.93
   84359	 6.28232	076.17	+05.71	299.9021	+40.6917	2rp701152n00.047	 	 	J195936.4+404130	 1.545e-02	...f...m.....	299.9021	+40.6917	 0.97	 0.40
   84235	 6.37652	076.17	+05.83	299.7696	+40.7553	2rp701152n00.033	 	 	J195904.6+404519	 3.005e-02	...fislmnpav.	299.7696	+40.7553	 0.00	 1.26
   84225	 6.37953	076.17	+05.84	299.7650	+40.7606	2rp800622n00.058	 	 	J195903.6+404538	 2.607e-02	...fislm.pav.	299.7650	+40.7606	 1.00	 1.00
   84386	 6.26951	076.17	+05.70	299.9192	+40.6908	2rp800622n00.074	 	 	J195940.6+404126	 2.797e-02	...fislmnpav.	299.9192	+40.6908	 1.02	 1.01
   84191	 6.41810	076.17	+05.89	299.7108	+40.7886	2rp701152n00.026	 	 	J195850.6+404718	 1.934e-02	.....sl.n..v.	299.7108	+40.7886	 0.94	 0.49
   84277	 6.34644	076.18	+05.80	299.8108	+40.7436	2rp701152n00.037	 	 	J195914.5+404437	 1.055e-01	..efislm.pav.	299.8108	+40.7436	 0.98	 0.97
   84370	 6.27676	076.18	+05.71	299.9079	+40.7042	2rp800622n00.070	 	 	J195937.9+404214	 6.605e-02	..efislm.pav.	299.9079	+40.7042	 0.98	 0.95
   84163	 6.46808	076.18	+05.95	299.6404	+40.8286	2rp800622n00.036	 	 	J195833.7+404942	 1.776e-02	...fislmnpav.	299.6404	+40.8286	 1.08	 1.09
   84187	 6.42883	076.18	+05.91	299.6946	+40.8072	2rp800622n00.048	 	 	J195846.7+404825	 1.503e-02	...fislmnpav.	299.6946	+40.8072	 1.00	 0.84
   84271	 6.34835	076.19	+05.81	299.8067	+40.7572	2rp701152n00.035	 	 	J195913.6+404526	 1.005e-01	..efislm.pav.	299.8067	+40.7572	 1.00	 0.97
   84362	 6.27958	076.19	+05.72	299.9029	+40.7144	2rp701152n00.042	 	 	J195936.7+404252	 3.760e-02	...fisl..p.v.	299.9029	+40.7144	 0.94	 0.53
   84251	 6.36341	076.19	+05.83	299.7854	+40.7692	2rp800622n00.056	 	 	J195908.5+404609	 6.235e-02	..efislm.pav.	299.7854	+40.7692	 1.00	 0.99
   84326	 6.30394	076.19	+05.76	299.8683	+40.7336	2rp701152n00.039	S	 	J195928.4+404400	 8.094e-01	....islm.pav.	299.8683	+40.7336	 0.98	 0.60
   84324	 6.30419	076.19	+05.76	299.8679	+40.7342	2rp800622n00.063	S	 	J195928.3+404402	 7.959e-01	....islm.p.v.	299.8679	+40.7342	 0.98	 0.61
   84409	 6.24803	076.19	+05.69	299.9467	+40.6983	2rp701152n00.045	 	 	J195947.1+404153	 3.494e-03	.....sl.n..v.	299.9467	+40.6983	 0.86	 0.92
   84204	 6.40038	076.19	+05.88	299.7333	+40.7978	2rp800622n00.049	 	 	J195856.0+404751	 2.002e-02	...fislmnpav.	299.7333	+40.7978	 0.94	 1.12
   84226	 6.37751	076.19	+05.85	299.7650	+40.7847	2rp701152n00.025	 	 	J195903.6+404705	 2.821e-02	...fislmnpav.	299.7650	+40.7847	 1.14	 0.94
   84152	 6.49497	076.19	+05.99	299.6017	+40.8603	2rp800622n00.023	 	 	J195824.3+405137	 1.694e-02	...fislm.pav.	299.6017	+40.8603	 0.65	 0.42
   84414	 6.24188	076.20	+05.68	299.9546	+40.7003	2rp800622n00.072	 	 	J195949.1+404201	 2.118e-02	...fislmnpav.	299.9546	+40.7003	 1.01	 0.95
   84405	 6.25440	076.20	+05.70	299.9367	+40.7108	2rp800622n00.068	 	 	J195944.8+404239	 1.970e-02	...fislm.pav.	299.9367	+40.7108	 0.98	 1.00
   84268	 6.34767	076.21	+05.82	299.8050	+40.7806	2rp800622n00.054	 	 	J195913.2+404649	 7.391e-02	..efislm.pav.	299.8050	+40.7806	 1.00	 0.78
   84250	 6.36190	076.21	+05.84	299.7850	+40.7911	2rp800622n00.052	 	 	J195908.4+404728	 3.083e-02	...fislm.pav.	299.7850	+40.7911	 1.09	 1.00
   84280	 6.34100	076.21	+05.81	299.8141	+40.7781	2rp701152n00.029	 	 	J195915.3+404640	 4.735e-02	...fislm.pav.	299.8141	+40.7781	 1.00	 1.00
   84213	 6.39170	076.21	+05.88	299.7433	+40.8122	2rp800622n00.044	 	 	J195858.4+404844	 2.772e-02	...fislm.pav.	299.7433	+40.8122	 1.00	 0.98
   84411	 6.24517	076.21	+05.70	299.9479	+40.7192	2rp800622n00.067	 	 	J195947.5+404309	 3.083e-02	...fislm.pav.	299.9479	+40.7192	 0.99	 0.96
   84168	 6.45820	076.21	+05.96	299.6508	+40.8564	2rp800622n00.025	 	 	J195836.2+405123	 2.663e-02	...fislm.pav.	299.6508	+40.8564	 1.00	 0.98
   84199	 6.40146	076.21	+05.89	299.7292	+40.8236	2rp800622n00.038	 	 	J195854.9+404925	 2.714e-02	...fislm.pav.	299.7292	+40.8236	 0.99	 0.88
   84299	 6.32423	076.21	+05.80	299.8367	+40.7747	2rp701152n00.031	 	 	J195920.8+404628	 1.186e-01	..efislm.pav.	299.8367	+40.7747	 1.03	 1.03
   84421	 6.23101	076.21	+05.68	299.9671	+40.7156	2rp701152n00.043	 	 	J195952.0+404255	 4.097e-03	.....sl.n..v.	299.9671	+40.7156	 1.06	 1.00
   84185	 6.42682	076.21	+05.92	299.6938	+40.8417	2rp800622n00.030	 	 	J195846.5+405030	 2.556e-02	...fislm.pav.	299.6938	+40.8417	 1.02	 0.92
   84230	 6.37459	076.22	+05.86	299.7662	+40.8100	2rp800622n00.045	 	 	J195903.8+404835	 2.954e-02	...fislm.pav.	299.7662	+40.8100	 1.00	 0.96
   84162	 6.46731	076.22	+05.98	299.6375	+40.8697	2rp701152n00.010	 	 	J195833.0+405210	 2.894e-02	...fislm.pav.	299.6375	+40.8697	 1.07	 1.36
   84173	 6.44625	076.22	+05.95	299.6663	+40.8600	2rp701152n00.013	 	 	J195839.9+405135	 5.407e-03	..efislm.pav.	299.6663	+40.8600	 1.08	 0.55
   84216	 6.38392	076.22	+05.88	299.7525	+40.8231	2rp701152n00.017	 	 	J195900.6+404923	 3.275e-02	.....sl.n..v.	299.7525	+40.8231	 0.77	 0.45
   84401	 6.25560	076.22	+05.72	299.9313	+40.7425	2rp701152n00.038	 	 	J195943.5+404433	 2.725e-02	...fislm.p.v.	299.9313	+40.7425	 1.07	 0.60
   84349	 6.27975	076.22	+05.75	299.8975	+40.7581	2rp701152n00.034	 	 	J195935.4+404528	 1.391e-01	..efislm.pav.	299.8975	+40.7581	 0.99	 0.69
   84293	 6.33041	076.22	+05.81	299.8267	+40.7914	2rp701152n00.024	 	 	J195918.4+404729	 4.760e-02	...fislm.pav.	299.8267	+40.7914	 0.99	 1.01
   84269	 6.34540	076.23	+05.83	299.8054	+40.8050	2rp800622n00.047	 	 	J195913.3+404818	 4.174e-02	...fislm.pav.	299.8054	+40.8050	 0.98	 0.99
   84154	 6.47916	076.23	+06.00	299.6200	+40.8897	2rp800622n00.015	 	 	J195828.8+405323	 1.904e-02	...fislmnpav.	299.6200	+40.8897	 0.94	 1.00
   84214	 6.38790	076.23	+05.89	299.7462	+40.8333	2rp800622n00.034	 	 	J195859.1+405000	 3.175e-02	...fislm.pav.	299.7462	+40.8333	 0.99	 0.97
   84292	 6.33060	076.23	+05.82	299.8258	+40.7975	2rp800622n00.051	 	 	J195918.2+404751	 3.040e-02	...fislm.pav.	299.8258	+40.7975	 0.81	 0.85
   84142	 6.50967	076.23	+06.04	299.5775	+40.9136	2rp800622n00.009	 	 	J195818.6+405448	 1.237e-02	...fislmnpav.	299.5775	+40.9136	 0.70	-0.05
   84252	 6.35798	076.23	+05.85	299.7871	+40.8208	2rp800622n00.039	 	 	J195908.9+404915	 3.268e-02	...fislm.pav.	299.7871	+40.8208	 1.00	 0.93
   84183	 6.42642	076.23	+05.94	299.6921	+40.8653	2rp800622n00.022	 	 	J195846.1+405155	 3.256e-02	...fislmnpav.	299.6921	+40.8653	 1.01	 1.02
   84435	 6.20032	076.24	+05.66	300.0067	+40.7244	2rp800622n00.066	S	 	J200001.6+404327	 1.717e-02	.....sl....v.	300.0067	+40.7244	 0.65	 0.36
   84437	 6.19908	076.24	+05.66	300.0084	+40.7239	2rp701152n00.041	 	 	J200002.0+404326	 6.015e-03	.....sl.n..v.	300.0084	+40.7239	 1.61	 0.25
   84412	 6.24213	076.24	+05.71	299.9479	+40.7533	2rp800622n00.059	 	 	J195947.5+404511	 1.495e-02	...fislm.pav.	299.9479	+40.7533	 1.01	 0.92
   84333	 6.29159	076.24	+05.78	299.8788	+40.7853	2rp701152n00.027	 	 	J195930.9+404706	 6.725e-03	...fislm.p.v.	299.8788	+40.7853	 1.08	 0.53
   84290	 6.33217	076.24	+05.83	299.8221	+40.8131	2rp800622n00.041	 	 	J195917.3+404846	 3.700e-02	...fislm.pav.	299.8221	+40.8131	 1.00	 0.98
   84274	 6.34179	076.24	+05.84	299.8087	+40.8194	2rp701152n00.019	S	 	J195914.1+404909	 3.487e-02	.....sl....v.	299.8087	+40.8194	 1.02	 0.93
   84335	 6.28866	076.24	+05.77	299.8825	+40.7869	2rp800622n00.050	 	 	J195931.7+404712	 4.775e-02	...fislm.pav.	299.8825	+40.7869	 1.00	 0.98
   84422	 6.22835	076.24	+05.70	299.9667	+40.7486	2rp701152n00.036	 	 	J195952.0+404455	 1.577e-02	.....sl.n..v.	299.9667	+40.7486	 0.80	 1.24
   84178	 6.43326	076.24	+05.95	299.6817	+40.8800	2rp800622n00.019	 	 	J195843.6+405248	 3.717e-02	...fislm.pav.	299.6817	+40.8800	 1.06	 0.91
   84172	 6.44614	076.24	+05.97	299.6638	+40.8894	2rp800622n00.014	 	 	J195839.3+405321	 3.066e-02	...fislm.pav.	299.6638	+40.8894	 0.97	 0.91
   84209	 6.39159	076.24	+05.90	299.7392	+40.8553	2rp800622n00.026	 	 	J195857.4+405118	 2.983e-02	...fislm.pav.	299.7392	+40.8553	 1.05	 0.84
   84186	 6.42432	076.24	+05.94	299.6938	+40.8772	2rp701152n00.009	S	 	J195846.5+405237	 4.423e-02	.......m..a..	299.6938	+40.8772	 0.98	 1.01
   84200	 6.39857	076.25	+05.91	299.7292	+40.8633	2rp701152n00.011	 	 	J195854.9+405147	 3.630e-02	...fislmnpav.	299.7292	+40.8633	 0.77	 0.96
   84378	 6.26745	076.25	+05.75	299.9113	+40.7806	2rp701152n00.030	 	 	J195938.7+404649	 2.036e-02	...fislm.pav.	299.9113	+40.7806	 1.54	 0.97
   85794	 3.68608	076.25	+00.35	305.7642	+37.8300	2rp900158a00.005	 	 	J202303.4+374948	 4.009e-03	........n....	305.7642	+37.8300	 0.65	 3.06
