#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2126
#Name: II/126
#Title:	IRAS Serendipitous Survey Catalog (IPAC 1986)
#Table	II_126_sources:
#Name: II/126/sources
#Title:	Properties of the point sources identified
#Coosys	B1950:	eq_FK4 1950
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.9, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS/SSC Source Name (1)        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Right Ascension 1950 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Declination 1950 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ANGLE	(I3)	Position Angle of SSC Source Error Box expressed in degrees East of North.	[ucd=ERROR]
#Column	FLUX12	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_12]
#Column	FLUX25	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_25]
#Column	FLUX60	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_60]
#Column	RGRID	(I5)	Reference Grid Number        (link)	[ucd=REFER_CODE]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	ANGLE	FLUX12	FLUX25	FLUX60	RGRID
   35443	 6.09865	076.22	+05.52	300.1526	+40.6386	19588+4029 	19 58 52.4	+40 29 59	 84	 7.78e-02	 8.76e-02	 5.07e-01	 2072
   35400	 6.08020	076.23	+05.50	300.1776	+40.6340	19589+4029 	19 58 58.4	+40 29 42	 76	 1.34e+00	 7.37e-01	 2.09e-01	 2912
   35447	 6.06989	076.23	+05.50	300.1910	+40.6363	19590+4029 	19 59 01.6	+40 29 50	 84	 1.33e+00	 7.55e-01	 2.04e-01	 2072
   35397	 6.14342	076.23	+05.59	300.0871	+40.6845	19586+4032 	19 58 36.8	+40 32 45	 76	 8.08e-02	 1.25e+00	 2.09e-01	 2912
   35358	 6.32710	076.23	+05.82	299.8298	+40.8031	19575+4039 	19 57 35.4	+40 39 56	 89	 6.32e-02	 6.01e-02	 1.24e-01	13230
   35412	 6.44500	076.24	+05.97	299.6656	+40.8866	19569+4044 	19 56 56.2	+40 44 59	 84	 7.78e-02	 8.76e-02	 2.04e-01	 2072
   35349	 6.45393	076.24	+05.98	299.6530	+40.8951	19568+4045 	19 56 53.2	+40 45 30	 89	 5.83e-02	 6.01e-02	 1.24e-01	13230
   35353	 6.39511	076.25	+05.91	299.7333	+40.8683	19572+4043 	19 57 12.4	+40 43 52	 89	 6.97e-02	 5.77e-02	 1.24e-01	13230
   35346	 6.51318	076.29	+06.08	299.5671	+40.9903	19565+4051 	19 56 32.8	+40 51 14	 89	 9.74e-02	 6.01e-02	 1.24e-01	13230
   35398	 6.09815	076.30	+05.58	300.1410	+40.7333	19588+4035 	19 58 49.8	+40 35 40	 76	 8.08e-02	 9.23e-02	 5.98e-01	 2912
   35444	 6.08546	076.31	+05.57	300.1573	+40.7381	19588+4035 	19 58 53.7	+40 35 57	 84	 7.78e-02	 8.76e-02	 5.14e-01	 2072
   35423	 6.29318	076.34	+05.85	299.8650	+40.9083	19577+4046 	19 57 44.0	+40 46 14	 84	 7.78e-02	 8.76e-02	 4.99e-01	 2072
   35363	 6.28540	076.35	+05.84	299.8750	+40.9122	19577+4046 	19 57 46.4	+40 46 28	 89	 5.83e-02	 6.01e-02	 4.20e-01	13230
   35389	 6.27519	076.35	+05.84	299.8883	+40.9145	19578+4046 	19 57 49.6	+40 46 36	 76	 8.08e-02	 9.23e-02	 4.77e-01	 2912
   35429	 6.22450	076.37	+05.79	299.9565	+40.9031	19580+4045 	19 58 05.9	+40 45 54	 84	 1.16e-01	 8.76e-02	 2.04e-01	 2072
   35367	 6.21427	076.38	+05.78	299.9698	+40.9057	19581+4046 	19 58 09.1	+40 46 03	 89	 1.26e-01	 6.01e-02	 1.24e-01	13230
   35391	 6.20334	076.39	+05.77	299.9840	+40.9096	19582+4046 	19 58 12.5	+40 46 17	 76	 1.20e-01	 9.23e-02	 2.09e-01	 2912
   35453	 6.02562	076.39	+05.56	300.2294	+40.8023	19591+4039 	19 59 11.1	+40 39 47	 84	 7.78e-02	 8.76e-02	 3.88e-01	 2072
   35405	 6.00746	076.40	+05.54	300.2537	+40.8007	19592+4039 	19 59 16.9	+40 39 41	 76	 8.08e-02	 9.23e-02	 3.61e-01	 2912
   35413	 6.41001	076.42	+06.04	299.6988	+41.0803	19570+4056 	19 57 04.5	+40 56 36	 84	 7.78e-02	 8.76e-02	 4.01e-01	 2072
   35350	 6.41117	076.42	+06.05	299.6971	+41.0837	19570+4056 	19 57 04.1	+40 56 48	 89	 5.83e-02	 6.01e-02	 4.12e-01	13230
   35343	 6.52675	076.47	+06.21	299.5392	+41.2050	19564+4104 	19 56 26.5	+41 04 07	 89	 5.83e-02	 6.01e-02	 6.63e-01	13230
   35360	 6.30069	076.49	+05.96	299.8431	+41.0976	19576+4057 	19 57 39.1	+40 57 36	 89	 1.01e-01	 6.01e-02	 1.24e-01	13230
   35424	 6.28402	076.50	+05.95	299.8652	+41.0977	19577+4057 	19 57 44.4	+40 57 36	 84	 1.27e-01	 8.76e-02	 2.04e-01	 2072
   35455	 6.00479	076.50	+05.61	300.2461	+40.9235	19592+4047 	19 59 15.3	+40 47 03	 84	 7.78e-02	 1.40e+02	 2.04e-01	 2072
   35386	 6.28275	076.50	+05.94	299.8669	+41.0983	19577+4057 	19 57 44.8	+40 57 38	 76	 1.04e-01	 9.23e-02	 2.09e-01	 2912
   35426	 6.24808	076.50	+05.90	299.9138	+41.0785	19579+4056 	19 57 56.0	+40 56 26	 84	 7.78e-02	 8.76e-02	 1.62e-01	 2072
   35354	 6.38284	076.51	+06.07	299.7316	+41.1644	19572+4101 	19 57 12.5	+41 01 38	 89	 5.83e-02	 6.01e-02	 4.26e-01	13230
   35415	 6.38035	076.51	+06.06	299.7349	+41.1630	19572+4101 	19 57 13.3	+41 01 33	 84	 9.50e-02	 8.76e-02	 4.26e-01	 2072
   35379	 6.36924	076.52	+06.06	299.7495	+41.1694	19572+4101 	19 57 16.8	+41 01 56	 76	 8.08e-02	 9.23e-02	 4.38e-01	 2912
   35449	 6.02710	076.61	+05.71	300.2079	+41.0617	19591+4055 	19 59 06.4	+40 55 21	 84	 7.78e-02	 8.76e-02	 2.75e-01	 2072
   35414	 6.40199	076.61	+06.15	299.7039	+41.2940	19571+4109 	19 57 06.1	+41 09 25	 84	 9.50e-02	 8.76e-02	 3.20e-01	 2072
   35427	 6.24336	076.62	+05.97	299.9157	+41.2135	19579+4104 	19 57 56.7	+41 04 32	 84	 6.04e-01	 1.82e-01	 2.04e-01	 2072
   35366	 6.24242	076.62	+05.97	299.9170	+41.2135	19579+4104 	19 57 57.0	+41 04 32	 89	 5.86e-01	 1.70e-01	 1.24e-01	13230
   35390	 6.23738	076.63	+05.97	299.9237	+41.2152	19579+4104 	19 57 58.6	+41 04 38	 76	 6.04e-01	 1.91e-01	 2.09e-01	 2912
   35383	 6.29276	076.64	+06.04	299.8494	+41.2602	19576+4107 	19 57 40.9	+41 07 21	 76	 8.08e-02	 9.23e-02	 2.09e-01	 2912
   35365	 6.24574	076.64	+05.99	299.9122	+41.2349	19579+4105 	19 57 55.9	+41 05 49	 89	 5.83e-02	 6.01e-02	 3.32e-01	13230
   35410	 6.49003	076.64	+06.28	299.5871	+41.3899	19566+4115 	19 56 38.3	+41 15 12	 84	 7.78e-02	 8.76e-02	 3.15e-01	 2072
   35396	 6.13846	076.65	+05.87	300.0559	+41.1794	19585+4102 	19 58 30.2	+41 02 27	 76	 8.08e-02	 9.23e-02	 2.09e-01	 2912
   35374	 6.14062	076.65	+05.87	300.0529	+41.1824	19584+4102 	19 58 29.5	+41 02 38	 89	 5.83e-02	 6.01e-02	 1.24e-01	13230
   35438	 6.13276	076.65	+05.86	300.0634	+41.1830	19585+4102 	19 58 32.0	+41 02 40	 84	 7.78e-02	 8.76e-02	 2.04e-01	 2072
   35377	 6.46818	076.66	+06.26	299.6163	+41.3944	19567+4115 	19 56 45.3	+41 15 28	 76	 8.08e-02	 9.23e-02	 3.04e-01	 2912
   35450	 6.02483	076.68	+05.75	300.2077	+41.1464	19591+4100 	19 59 06.5	+41 00 26	 84	 7.78e-02	 8.76e-02	 3.16e-01	 2072
   35357	 6.34027	076.68	+06.12	299.7862	+41.3457	19574+4112 	19 57 25.9	+41 12 30	 89	 4.38e-01	 6.01e-02	 1.24e-01	13230
   35417	 6.32613	076.69	+06.11	299.8050	+41.3436	19575+4112 	19 57 30.4	+41 12 22	 84	 5.32e-01	 8.76e-02	 2.04e-01	 2072
   35392	 6.18983	076.70	+05.96	299.9863	+41.2738	19582+4108 	19 58 13.7	+41 08 08	 76	 6.21e-01	 1.64e-01	 2.09e-01	 2912
   35368	 6.18827	076.71	+05.96	299.9883	+41.2782	19582+4108 	19 58 14.2	+41 08 24	 89	 6.03e-01	 1.67e-01	 1.24e-01	13230
   35430	 6.18733	076.71	+05.96	299.9896	+41.2782	19582+4108 	19 58 14.5	+41 08 24	 84	 5.81e-01	 1.94e-01	 2.04e-01	 2072
   35421	 6.29921	076.71	+06.09	299.8408	+41.3468	19576+4112 	19 57 39.0	+41 12 33	 84	 7.78e-02	 2.44e-01	 2.04e-01	 2072
   35384	 6.29210	076.72	+06.09	299.8504	+41.3538	19576+4112 	19 57 41.3	+41 12 58	 76	 5.45e-01	 2.57e-01	 2.09e-01	 2912
   35439	 6.09658	076.72	+05.86	300.1105	+41.2410	19587+4106 	19 58 43.4	+41 06 08	 84	 2.06e-01	 8.76e-02	 2.04e-01	 2072
   35371	 6.15073	076.74	+05.94	300.0383	+41.2993	19584+4109 	19 58 26.2	+41 09 39	 89	 5.83e-02	 6.01e-02	 5.69e-01	13230
   35380	 6.32006	076.75	+06.14	299.8141	+41.4106	19575+4116 	19 57 32.7	+41 16 23	 76	 4.22e+00	 2.53e+00	 2.09e-01	 2912
   35419	 6.32106	076.75	+06.14	299.8128	+41.4133	19575+4116 	19 57 32.4	+41 16 33	 84	 4.14e+00	 2.55e+00	 1.23e+00	 2072
   35411	 6.44209	076.76	+06.28	299.6535	+41.4907	19569+4121 	19 56 54.4	+41 21 14	 84	 1.20e-01	 8.76e-02	 2.04e-01	 2072
   35442	 6.07663	076.77	+05.87	300.1369	+41.2897	19588+4109 	19 58 49.8	+41 09 03	 84	 7.78e-02	 8.76e-02	 1.26e+00	 2072
   35436	 6.15683	076.95	+06.06	300.0369	+41.5393	19584+4124 	19 58 26.3	+41 24 03	 84	 1.06e-01	 8.76e-02	 2.04e-01	 2072
   34642	 9.22868	078.14	+09.73	296.5066	+44.3914	19444+4416 	19 44 26.3	+44 16 05	 79	 9.17e-02	 8.05e-02	 1.77e-01	 2616
   34648	 9.09398	078.22	+09.60	296.7070	+44.3970	19452+4416 	19 45 14.3	+44 16 22	 79	 1.22e-01	 8.05e-02	 1.30e-01	 2616
   34639	 9.32335	078.22	+09.84	296.4233	+44.5161	19441+4423 	19 44 06.6	+44 23 35	 79	 7.50e-02	 8.05e-02	 2.99e-01	 2616
   34647	 9.13705	078.28	+09.66	296.6808	+44.4783	19451+4421 	19 45 08.2	+44 21 15	 79	 7.50e-02	 8.05e-02	 2.44e-01	 2616
   34645	 9.22937	078.32	+09.76	296.5857	+44.5665	19447+4426 	19 44 45.6	+44 26 34	 79	 3.98e-01	 8.05e-02	 1.30e-01	 2616
   34641	 9.35907	078.38	+09.90	296.4490	+44.6829	19442+4433 	19 44 13.1	+44 33 35	 79	 7.50e-02	 8.05e-02	 1.30e-01	 2616
   34643	 9.31497	078.43	+09.87	296.5293	+44.7126	19445+4435 	19 44 32.4	+44 35 21	 79	 2.80e-01	 8.05e-02	 1.30e-01	 2616
   34633	 9.59905	078.44	+10.15	296.1765	+44.8567	19431+4444 	19 43 08.2	+44 44 05	 79	 1.38e-01	 8.05e-02	 1.30e-01	 2616
   34634	 9.60830	078.52	+10.18	296.2009	+44.9323	19432+4448 	19 43 14.2	+44 48 37	 79	 5.70e-01	 1.84e-01	 1.30e-01	 2616
   34646	 9.31018	078.68	+09.90	296.6539	+44.9390	19450+4448 	19 45 02.7	+44 48 54	 79	 1.65e+00	 4.68e-01	 1.30e-01	 2616
   34635	 9.64898	078.71	+10.24	296.2446	+45.1309	19434+4500 	19 43 25.1	+45 00 31	 79	 2.88e+00	 7.06e-01	 1.47e-01	 2616
   34644	 9.42311	078.75	+10.02	296.5472	+45.0569	19446+4456 	19 44 37.4	+44 56 00	 79	 5.71e-01	 1.57e-01	 1.30e-01	 2616
   35755	 5.57627	078.75	+06.12	301.2385	+43.0968	20032+4257 	20 03 16.9	+42 57 12	 74	 3.86e-01	 1.07e-01	 1.74e+00	 2687
   35750	 5.62985	078.79	+06.18	301.1913	+43.1589	20030+4300 	20 03 05.7	+43 00 56	 74	 1.20e-01	 2.17e-01	 6.12e-01	 2687
   35738	 5.80412	078.84	+06.37	301.0093	+43.3017	20023+4309 	20 02 22.4	+43 09 33	 74	 2.69e-01	 3.55e-01	 6.12e-01	 2687
   35756	 5.59392	078.84	+06.16	301.2612	+43.1928	20033+4302 	20 03 22.5	+43 02 57	 74	 8.86e-01	 1.07e-01	 6.12e-01	 2687
   35765	 5.46370	078.87	+06.03	301.4274	+43.1451	20040+4300 	20 04 02.2	+43 00 03	 74	 2.86e-01	 1.07e-01	 6.05e+00	 2687
   35740	 5.79135	078.87	+06.36	301.0413	+43.3266	20025+4311 	20 02 30.1	+43 11 02	 74	 9.79e-02	 1.07e-01	 6.12e-01	 2687
   35744	 5.76191	078.88	+06.34	301.0802	+43.3181	20026+4310 	20 02 39.4	+43 10 31	 74	 9.79e-02	 1.07e-01	 4.46e+00	 2687
   35759	 5.58947	078.91	+06.17	301.2983	+43.2507	20035+4306 	20 03 31.5	+43 06 25	 74	 9.79e-02	 1.54e-01	 6.12e-01	 2687
   35772	 5.34043	078.97	+05.92	301.6239	+43.1734	20048+4301 	20 04 49.3	+43 01 42	 74	 9.79e-02	 3.10e-01	 3.06e+00	 2687
   34630	 9.87416	078.98	+10.50	296.1004	+45.4819	19428+4521 	19 42 51.3	+45 21 37	 79	 1.01e+00	 8.05e-02	 1.87e-01	 2616
   34631	 9.84895	079.00	+10.48	296.1450	+45.4913	19430+4522 	19 43 02.0	+45 22 10	 79	 7.50e-02	 6.58e-01	 1.30e-01	 2616
   35764	 5.54668	079.01	+06.14	301.4042	+43.3275	20039+4311 	20 03 57.0	+43 11 00	 74	 8.51e-02	 1.07e-01	 1.77e+00	 2687
   35773	 5.31445	079.02	+05.91	301.6833	+43.2112	20050+4303 	20 05 03.6	+43 03 57	 74	 9.79e-02	 1.82e-01	 6.12e-01	 2687
   35737	 5.91816	079.02	+06.52	300.9703	+43.5368	20022+4323 	20 02 13.5	+43 23 40	 74	 1.74e-01	 2.33e-01	 6.12e-01	 2687
   34637	 9.72948	079.04	+10.36	296.3185	+45.4720	19437+4520 	19 43 43.5	+45 20 58	 79	 1.58e-01	 8.05e-02	 1.30e-01	 2616
   35743	 5.84843	079.05	+06.45	301.0677	+43.5247	20026+4322 	20 02 36.8	+43 22 55	 74	 9.79e-02	 1.07e-01	 2.20e+00	 2687
   34632	 9.87815	079.07	+10.51	296.1448	+45.5654	19430+4526 	19 43 02.1	+45 26 37	 79	 7.50e-02	 8.05e-02	 1.51e-01	 2616
   34640	 9.65041	079.07	+10.28	296.4359	+45.4634	19441+4520 	19 44 11.6	+45 20 25	 79	 1.23e+01	 9.93e+00	 2.23e+00	 2616
   35768	 5.45962	079.07	+06.06	301.5403	+43.3384	20044+4311 	20 04 29.6	+43 11 37	 74	 9.79e-02	 1.07e-01	 6.12e-01	 2687
   35763	 5.58776	079.09	+06.20	301.4001	+43.4258	20039+4316 	20 03 56.2	+43 16 54	 74	 9.79e-02	 1.07e-01	 2.72e+00	 2687
   35733	 5.97629	079.11	+06.59	300.9506	+43.6504	20021+4330 	20 02 09.0	+43 30 29	 74	 9.79e-02	 1.07e-01	 1.97e+00	 2687
   34629	 9.99617	079.12	+10.63	296.0248	+45.6688	19425+4532 	19 42 33.6	+45 32 51	 79	 7.50e-02	 8.05e-02	 2.51e-01	 2616
   34638	 9.75115	079.12	+10.39	296.3361	+45.5552	19437+4525 	19 43 47.9	+45 25 57	 79	 7.50e-02	 8.05e-02	 1.31e-01	 2616
   35771	 5.41982	079.13	+06.03	301.6153	+43.3642	20047+4313 	20 04 47.6	+43 13 09	 74	 7.61e+00	 4.88e+00	 6.12e-01	 2687
   35734	 5.97832	079.13	+06.59	300.9567	+43.6654	20021+4331 	20 02 10.5	+43 31 23	 74	 9.79e-02	 1.07e-01	 6.12e-01	 2687
   35760	 5.68966	079.14	+06.30	301.3050	+43.5221	20035+4322 	20 03 33.6	+43 22 42	 74	 1.77e-01	 1.63e-01	 6.12e-01	 2687
   35735	 5.98160	079.14	+06.60	300.9612	+43.6807	20021+4332 	20 02 11.6	+43 32 18	 74	 1.83e-01	 2.37e-01	 6.12e-01	 2687
   35769	 5.47115	079.17	+06.09	301.5821	+43.4366	20046+4317 	20 04 39.8	+43 17 30	 74	 2.75e-01	 3.25e-01	 3.74e+00	 2687
   35754	 5.77865	079.18	+06.40	301.2204	+43.6029	20032+4327 	20 03 13.5	+43 27 34	 74	 9.79e-02	 1.07e-01	 3.06e+00	 2687
   35753	 5.78335	079.18	+06.41	301.2186	+43.6115	20032+4328 	20 03 13.1	+43 28 05	 74	 2.46e+00	 1.04e+00	 6.12e-01	 2687
   35766	 5.58457	079.19	+06.21	301.4554	+43.5086	20041+4321 	20 04 09.6	+43 21 51	 74	 9.79e-02	 1.07e-01	 3.48e+00	 2687
   35770	 5.47175	079.19	+06.09	301.5916	+43.4533	20047+4318 	20 04 42.1	+43 18 30	 74	 9.79e-02	 1.07e-01	 6.12e-01	 2687
   35727	 6.11027	079.20	+06.74	300.8379	+43.7957	20017+4339 	20 01 42.3	+43 39 14	 74	 2.13e-01	 1.07e-01	 6.12e-01	 2687
   35748	 5.85821	079.21	+06.48	301.1467	+43.6776	20029+4332 	20 02 56.0	+43 32 04	 74	 2.38e-01	 4.13e-01	 3.59e+00	 2687
   35731	 6.04289	079.23	+06.67	300.9370	+43.7898	20021+4338 	20 02 06.0	+43 38 51	 74	 1.20e-01	 1.38e-01	 7.26e-01	 2687
   35726	 6.13091	079.24	+06.76	300.8371	+43.8435	20017+4342 	20 01 42.2	+43 42 06	 74	 3.40e-01	 1.07e-01	 6.12e-01	 2687
   35724	 6.16561	079.26	+06.80	300.8076	+43.8798	20015+4344 	20 01 35.2	+43 44 17	 74	 9.79e-02	 1.28e-01	 6.12e-01	 2687
   35767	 5.56127	079.26	+06.19	301.5248	+43.5619	20044+4325 	20 04 26.3	+43 25 02	 74	 2.90e-01	 2.94e-01	 6.12e-01	 2687
   35730	 6.09150	079.28	+06.73	300.9092	+43.8613	20019+4343 	20 01 59.5	+43 43 09	 74	 1.20e-01	 1.31e-01	 6.12e-01	 2687
   35722	 6.24117	079.29	+06.88	300.7393	+43.9523	20013+4348 	20 01 19.0	+43 48 39	 74	 3.54e-01	 1.07e-01	 6.12e-01	 2687
   35757	 5.80591	079.30	+06.44	301.2615	+43.7311	20033+4335 	20 03 23.6	+43 35 15	 74	 1.04e-01	 1.86e-01	 6.12e-01	 2687
   35736	 6.09584	079.38	+06.74	300.9624	+43.9499	20022+4348 	20 02 12.4	+43 48 27	 74	 1.46e-01	 1.07e-01	 6.12e-01	 2687
   34636	 9.89820	079.39	+10.55	296.3054	+45.8636	19436+4544 	19 43 41.2	+45 44 28	 79	 7.50e-02	 8.05e-02	 1.30e-01	 2616
   36677	 0.53623	079.41	+00.50	307.9763	+40.4913	20300+4019 	20 30 05.5	+40 19 15	 73	 5.55e-01	 5.99e-01	 3.18e+00	14469
   35719	 6.36382	079.41	+07.01	300.6674	+44.1247	20010+4359 	20 01 02.1	+43 59 01	 74	 1.01e-01	 1.07e-01	 6.12e-01	 2687
   35728	 6.20529	079.46	+06.86	300.8837	+44.0804	20018+4356 	20 01 53.8	+43 56 18	 74	 9.79e-02	 1.30e-01	 6.12e-01	 2687
   35758	 5.89438	079.47	+06.55	301.2608	+43.9280	20033+4347 	20 03 23.8	+43 47 04	 74	 9.79e-02	 1.07e-01	 1.14e+00	 2687
   36668	 0.43246	079.49	+00.66	307.8746	+40.6445	20296+4028 	20 29 41.4	+40 28 28	 73	 1.31e+01	 6.77e+00	 6.25e+00	14469
   36756	 0.65797	079.55	+00.12	308.4858	+40.3788	20321+4012 	20 32 07.3	+40 12 23	 84	 7.15e-01	 6.14e-01	 1.02e+01	 2188
   36673	 0.36609	079.56	+00.65	307.9286	+40.6969	20299+4031 	20 29 54.4	+40 31 36	 73	 2.23e-01	 2.68e-01	 3.18e+00	14469
   36695	 0.47768	079.56	+00.36	308.2422	+40.5234	20311+4021 	20 31 09.2	+40 21 07	 73	 1.41e-01	 5.11e-01	 3.18e+00	14469
   35720	 6.44141	079.56	+07.10	300.6672	+44.2928	20010+4409 	20 01 02.4	+44 09 06	 74	 1.46e-01	 1.37e-01	 1.92e+00	 2687
   36665	 0.36989	079.56	+00.76	307.8233	+40.7640	20294+4035 	20 29 29.3	+40 35 39	 73	 3.67e-01	 2.68e-01	 3.94e+00	14469
   35762	 5.85731	079.57	+06.52	301.3705	+43.9979	20038+4351 	20 03 50.2	+43 51 14	 74	 1.00e-01	 1.07e-01	 6.12e-01	 2687
   36701	 0.48414	079.58	+00.33	308.2936	+40.5211	20313+4020 	20 31 21.5	+40 20 58	 73	 1.94e-01	 2.68e-01	 3.18e+00	14469
   36682	 0.34434	079.59	+00.57	308.0511	+40.6746	20303+4030 	20 30 23.7	+40 30 14	 73	 2.86e+00	 2.68e-01	 3.18e+00	14469
   35732	 6.24697	079.61	+06.91	300.9338	+44.2370	20021+4405 	20 02 06.1	+44 05 41	 74	 9.79e-02	 1.30e-01	 6.12e-01	 2687
   36757	 0.58110	079.63	+00.17	308.4982	+40.4646	20321+4017 	20 32 10.4	+40 17 32	 84	 5.42e-01	 6.14e-01	 1.02e+01	 2188
   35723	 6.39962	079.63	+07.06	300.7626	+44.3310	20014+4411 	20 01 25.3	+44 11 22	 74	 9.79e-02	 1.39e-01	 6.12e-01	 2687
   35761	 5.94501	079.63	+06.61	301.3087	+44.0994	20035+4357 	20 03 35.6	+43 57 20	 74	 9.79e-02	 1.07e-01	 1.01e+00	 2687
   35746	 6.10662	079.64	+06.77	301.1175	+44.1852	20028+4402 	20 02 50.0	+44 02 32	 74	 2.21e-01	 1.07e-01	 6.12e-01	 2687
   35725	 6.35434	079.64	+07.02	300.8233	+44.3160	20016+4410 	20 01 39.8	+44 10 27	 74	 9.79e-02	 1.07e-01	 6.12e-01	 2687
   36664	 0.33835	079.64	+00.86	307.7773	+40.8880	20293+4043 	20 29 18.5	+40 43 06	 73	 5.19e+00	 4.59e+00	 3.18e+00	14469
   36692	 0.34101	079.64	+00.47	308.1928	+40.6590	20309+4029 	20 30 57.6	+40 29 16	 73	 1.81e+02	 1.17e+02	 3.18e+00	14469
   36684	 0.27619	079.65	+00.60	308.0644	+40.7435	20304+4034 	20 30 27.0	+40 34 22	 73	 1.41e-01	 2.68e-01	 1.21e+01	14469
   35716	 6.60301	079.66	+07.27	300.5443	+44.4692	20005+4419 	20 00 33.3	+44 19 43	 74	 9.79e-02	 1.35e-01	 6.12e-01	 2687
   36752	 0.50706	079.67	+00.23	308.4698	+40.5359	20320+4021 	20 32 03.7	+40 21 49	 84	 2.00e-01	 6.14e-01	 4.07e+01	 2188
   36705	 0.40616	079.67	+00.35	308.3481	+40.6096	20315+4026 	20 31 34.7	+40 26 16	 73	 2.17e+00	 2.68e-01	 3.18e+00	14469
   36738	 0.40553	079.68	+00.34	308.3577	+40.6124	20316+4026 	20 31 37.0	+40 26 26	 84	 2.04e+00	 6.14e-01	 1.02e+01	 2188
   36697	 0.32583	079.68	+00.45	308.2479	+40.6762	20311+4030 	20 31 10.8	+40 30 17	 73	 1.41e-01	 2.68e-01	 3.18e+00	14469
   36743	 0.41758	079.69	+00.32	308.3812	+40.6056	20317+4026 	20 31 42.6	+40 26 01	 84	 2.00e-01	 1.01e+00	 1.02e+01	 2188
   36767	 0.61997	079.69	+00.09	308.6248	+40.4701	20326+4017 	20 32 40.7	+40 17 50	 84	 2.00e-01	 2.03e+00	 1.02e+01	 2188
   36637	 1.33144	079.69	+01.98	306.6050	+41.5801	20246+4124 	20 24 39.0	+41 24 54	 65	 3.06e-01	 2.30e-01	 3.85e+00	15438
   35715	 6.63861	079.69	+07.30	300.5176	+44.5083	20004+4422 	20 00 27.0	+44 22 04	 74	 1.31e-01	 1.07e-01	 6.12e-01	 2687
   36680	 0.23083	079.69	+00.66	308.0318	+40.8073	20303+4038 	20 30 19.3	+40 38 12	 73	 4.70e-01	 2.68e-01	 3.18e+00	14469
   36689	 0.23050	079.71	+00.58	308.1210	+40.7774	20306+4036 	20 30 40.6	+40 36 23	 73	 5.65e-01	 2.68e-01	 3.18e+00	14469
   36729	 0.31662	079.72	+00.42	308.3071	+40.6939	20314+4031 	20 31 25.0	+40 31 20	 84	 1.36e+00	 6.14e-01	 1.02e+01	 2188
   36678	 0.19310	079.73	+00.70	308.0147	+40.8670	20302+4041 	20 30 15.3	+40 41 47	 73	 2.26e-01	 2.68e-01	 3.18e+00	14469
   35718	 6.55178	079.74	+07.22	300.6551	+44.5053	20009+4421 	20 00 59.9	+44 21 51	 74	 1.20e-01	 1.07e-01	 1.97e+00	 2687
   36662	 0.36665	079.74	+00.99	307.7170	+41.0403	20290+4052 	20 29 04.3	+40 52 15	 73	 4.62e-01	 5.70e+00	 7.66e+01	14469
   35717	 6.55895	079.74	+07.23	300.6479	+44.5108	20009+4422 	20 00 58.2	+44 22 11	 74	 1.20e-01	 2.07e-01	 6.12e-01	 2687
   36696	 0.24469	079.75	+00.50	308.2465	+40.7578	20311+4035 	20 31 10.6	+40 35 11	 73	 1.76e+02	 1.22e+02	 3.18e+00	14469
   36635	 1.51426	079.75	+02.17	306.4426	+41.7442	20240+4134 	20 24 00.4	+41 34 47	 65	 1.60e-01	 5.84e-01	 9.56e+00	15438
   36706	 0.35075	079.75	+00.36	308.3957	+40.6820	20317+4030 	20 31 46.2	+40 30 36	 73	 7.33e-01	 2.88e+00	 3.18e+00	14469
   36745	 0.34925	079.76	+00.36	308.3965	+40.6840	20317+4030 	20 31 46.4	+40 30 43	 84	 6.86e-01	 6.14e-01	 1.02e+01	 2188
