#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2125
#Name: II/125
#Title:	IRAS catalogue of Point Sources, Version 2.0 (IPAC 1986)
#Table	II_125_main:
#Name: II/125/main
#Title:	IRAS Point Sources
#Coosys	B1950_1983.500:	eq_FK4 1950_1983.500
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.8, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS source name        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Hours RA, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Degrees Dec, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_DEC_MAIN]
#Column	Fnu_12	(E9.2)	Average non-color corrected flux density, 12um	[ucd=PHOT_FLUX_IR_12]
#Column	Fnu_25	(E9.2)	Average non-color corrected flux density, 25um	[ucd=PHOT_FLUX_IR_25]
#Column	Fnu_60	(E9.2)	Average non-color corrected flux density, 60um	[ucd=PHOT_FLUX_IR_60]
#Column	Fnu_100	(E9.2)	Average non-color corrected flux density, 100um	[ucd=PHOT_FLUX_IR_100]
#Column	FQual_12	(I1)	Flux density quality, 12um	[ucd=CODE_QUALITY]
#Column	FQual_25	(I1)	Flux density quality, 25um	[ucd=CODE_QUALITY]
#Column	FQual_60	(I1)	Flux density quality, 60um	[ucd=CODE_QUALITY]
#Column	FQual_100	(I1)	Flux density quality, 100um	[ucd=CODE_QUALITY]
#Column	NLRS	(I2)	Number of significant LRS spectra        (link)	[ucd=NUMBER]
#Column	NID	(I2)	Number of positional associations        (link)	[ucd=NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	Fnu_12	Fnu_25	Fnu_60	Fnu_100	FQual_12	FQual_25	FQual_60	FQual_100	NLRS	NID
  217390	 7.78571	072.25	-00.66	303.9995	+33.9611	20140+3348 	20 14 03.4	+33 48 23	 1.64e+00	 7.92e-01	 7.53e+00	 7.22e+01	3	3	1	1	 0	 0
  217692	 7.82909	072.26	-00.93	304.2755	+33.8158	20151+3339 	20 15 09.3	+33 39 36	 1.81e+00	 1.17e+00	 2.79e+00	 6.84e+01	3	3	1	1	 0	 0
  212347	 8.18849	072.26	+03.57	299.6526	+36.2495	19567+3606 	19 56 45.4	+36 06 46	 2.75e-01	 2.55e-01	 1.26e+00	 1.91e+01	3	1	1	1	 0	 0
  208392	 9.65948	072.26	+06.57	296.4077	+37.7717	19438+3738 	19 43 50.4	+37 38 56	 2.79e+00	 1.48e+00	 5.21e-01	 3.25e+00	3	3	1	1	 0	 0
  216681	 7.69402	072.26	-00.03	303.3763	+34.3169	20115+3409 	20 11 34.6	+34 09 53	 1.08e+00	 8.30e-01	 3.92e+00	 1.03e+01	3	3	1	2	 0	 1
  214594	 7.73174	072.26	+01.75	301.5638	+35.2889	20043+3508 	20 04 21.8	+35 08 39	 2.34e+01	 8.67e+00	 6.47e+00	 5.20e+01	3	3	1	1	 4	 0
  218402	 7.99330	072.26	-01.63	304.9706	+33.4299	20179+3316 	20 17 55.3	+33 16 17	 3.90e-01	 2.94e-01	 4.01e+00	 4.26e+01	1	2	3	1	 0	 0
  216066	 7.65793	072.26	+00.50	302.8402	+34.6150	20094+3427 	20 09 26.6	+34 27 54	 4.65e-01	 9.98e-01	 6.15e+00	 7.32e+01	3	1	1	1	 0	 0
  218583	 8.03958	072.27	-01.80	305.1452	+33.3362	20186+3310 	20 18 37.0	+33 10 37	 9.84e-01	 6.21e-01	 2.14e+00	 5.05e+01	3	3	1	1	 0	 0
  211692	 8.37986	072.27	+04.11	299.0893	+36.5410	19545+3624 	19 54 30.9	+36 24 24	 7.92e-01	 1.52e-01	 8.62e-01	 1.32e+01	3	2	1	1	 0	 0
  211325	 8.50313	072.27	+04.40	298.7740	+36.6949	19532+3633 	19 53 15.6	+36 33 43	 2.73e-01	 2.61e-01	 1.07e+00	 1.13e+01	1	1	3	1	 0	 0
  214809	 7.69728	072.28	+01.58	301.7463	+35.2094	20050+3503 	20 05 05.4	+35 03 50	 4.12e-01	 5.23e-01	 6.90e+00	 7.94e+01	3	1	1	1	 0	 0
  216966	 7.70081	072.28	-00.27	303.6274	+34.2012	20125+3402 	20 12 34.6	+34 02 53	 4.30e-01	 5.89e-01	 7.07e+00	 4.71e+01	2	3	2	3	 0	 0
  213370	 7.91133	072.28	+02.74	300.5406	+35.8360	20002+3541 	20 00 17.5	+35 41 44	 2.41e+00	 1.39e+00	 1.45e+00	 1.80e+01	3	3	1	1	 0	 0
  212132	 8.22978	072.29	+03.76	299.4724	+36.3712	19560+3614 	19 56 02.4	+36 14 07	 1.38e+00	 3.73e-01	 1.51e+00	 1.38e+01	3	3	1	1	 0	 1
  215646	 7.63686	072.29	+00.87	302.4749	+34.8368	20079+3441 	20 07 59.4	+34 41 18	 2.50e-01	 2.90e-01	 3.63e+00	 2.47e+01	1	1	1	3	 0	 1
  213447	 7.89273	072.29	+02.69	300.6017	+35.8104	20005+3540 	20 00 32.1	+35 40 11	 6.77e-01	 3.50e-01	 1.25e+00	 1.83e+01	3	3	1	1	 0	 0
  218198	 7.91222	072.29	-01.42	304.7841	+33.5673	20171+3324 	20 17 10.8	+33 24 34	 3.31e-01	 3.57e-01	 3.52e+00	 6.38e+01	3	3	2	1	 0	 0
  210777	 8.70182	072.29	+04.87	298.2848	+36.9462	19513+3648 	19 51 18.8	+36 48 55	 3.06e-01	 2.50e-01	 4.69e-01	 6.82e+00	3	1	1	1	 0	 0
  218006	 7.86034	072.29	-01.22	304.5860	+33.6815	20163+3331 	20 16 23.5	+33 31 28	 3.05e-01	 3.52e-01	 3.89e+00	 5.40e+01	2	3	3	1	 0	 1
  216487	 7.64332	072.29	+00.17	303.1960	+34.4572	20108+3418 	20 10 51.6	+34 18 21	 4.26e-01	 5.53e-01	 6.14e+00	 3.16e+01	2	3	2	2	 0	 0
  209777	 9.07277	072.30	+05.61	297.4871	+37.3292	19481+3712 	19 48 08.3	+37 12 06	 2.50e-01	 2.93e-01	 8.76e-01	 5.84e+00	1	1	1	3	 0	 0
  216563	 7.63970	072.30	+00.10	303.2717	+34.4262	20111+3416 	20 11 09.7	+34 16 28	 3.49e-01	 2.62e-01	 5.92e+00	 7.23e+01	3	1	1	1	 0	 0
  210075	 8.95067	072.31	+05.40	297.7240	+37.2324	19490+3706 	19 49 04.9	+37 06 14	 1.39e+00	 6.14e-01	 8.14e-01	 4.27e+00	3	3	2	1	 0	 1
  221863	 9.69885	072.31	-05.36	308.6031	+31.3066	20323+3108 	20 32 22.7	+31 08 02	 2.52e-01	 5.36e-01	 5.57e-01	 3.08e+00	1	3	2	2	 0	 0
  219888	 8.44663	072.31	-03.00	306.3524	+32.6832	20234+3231 	20 23 25.3	+32 31 09	 2.50e-01	 2.90e-01	 1.31e+00	 6.41e+01	1	1	3	1	 0	 0
  214157	 7.74592	072.31	+02.13	301.1945	+35.5385	20028+3523 	20 02 53.7	+35 23 43	 1.43e+00	 6.38e-01	 6.46e+00	 6.40e+01	3	3	1	1	 0	 0
  213043	 7.96013	072.32	+03.04	300.2527	+36.0215	19591+3552 	19 59 08.8	+35 52 56	 2.88e-01	 3.15e-01	 4.09e+00	 2.70e+01	1	1	3	3	 0	 0
  213186	 7.91938	072.32	+02.92	300.3812	+35.9653	19596+3549 	19 59 39.5	+35 49 32	 6.08e-01	 2.50e-01	 1.52e+00	 1.51e+01	3	1	1	1	 0	 0
  209400	 9.20620	072.32	+05.89	297.1976	+37.4915	19469+3721 	19 46 59.2	+37 21 55	 2.50e-01	 2.50e-01	 7.46e-01	 7.21e+00	1	1	3	3	 0	 0
  215079	 7.62295	072.33	+01.38	301.9821	+35.1503	20060+3500 	20 06 01.8	+35 00 14	 1.00e+00	 1.35e+00	 1.23e+01	 8.28e+01	3	3	2	2	 0	 0
  210299	 8.85621	072.33	+05.25	297.8980	+37.1748	19497+3702 	19 49 46.5	+37 02 44	 5.74e-01	 2.50e-01	 4.74e-01	 5.02e+00	3	1	1	1	 0	 0
  219560	 8.29293	072.33	-02.68	306.0536	+32.8856	20222+3243 	20 22 14.0	+32 43 22	 4.35e-01	 3.14e-01	 4.16e+00	 1.64e+01	2	2	2	3	 0	 0
  215231	 7.60950	072.33	+01.26	302.1144	+35.0839	20065+3456 	20 06 33.4	+34 56 13	 1.10e+00	 5.90e-01	 4.59e+00	 2.74e+01	3	3	1	3	 0	 0
  218183	 7.85639	072.33	-01.37	304.7679	+33.6311	20171+3328 	20 17 07.0	+33 28 24	 4.62e-01	 2.50e-01	 1.28e+00	 9.73e+01	3	1	2	1	 0	 1
  219380	 8.21993	072.34	-02.50	305.8810	+32.9905	20215+3249 	20 21 32.8	+32 49 42	 4.03e-01	 2.50e-01	 3.50e+00	 5.94e+01	3	1	1	1	 0	 0
  217710	 7.74250	072.34	-00.89	304.2908	+33.9042	20152+3344 	20 15 13.1	+33 44 54	 9.28e-01	 4.19e-01	 5.25e+00	 6.61e+01	3	3	1	1	 0	 0
  212820	 8.00060	072.34	+03.24	300.0561	+36.1454	19583+3600 	19 58 21.9	+36 00 25	 6.29e+00	 3.14e+00	 1.29e+00	 2.14e+01	3	3	1	1	 0	 1
  208158	 9.72184	072.34	+06.78	296.2303	+37.9457	19431+3749 	19 43 08.2	+37 49 25	 6.77e-01	 2.50e-01	 4.00e-01	 3.26e+00	3	1	1	1	 0	 1
  216006	 7.57671	072.34	+00.60	302.7961	+34.7340	20092+3435 	20 09 16.2	+34 35 03	 1.54e+00	 1.15e+00	 5.79e+00	 5.79e+01	3	3	1	1	 0	 0
  219072	 8.09709	072.35	-02.20	305.5974	+33.1724	20204+3300 	20 20 25.1	+33 00 41	 2.50e-01	 2.50e-01	 5.34e+00	 1.93e+01	1	1	1	3	 0	 0
  218357	 7.88434	072.35	-01.53	304.9349	+33.5542	20177+3323 	20 17 46.9	+33 23 45	 3.66e-01	 2.50e-01	 3.11e+00	 2.51e+01	3	1	1	1	 0	 0
  214633	 7.64909	072.35	+01.77	301.5937	+35.3768	20044+3513 	20 04 29.1	+35 13 55	 3.27e-01	 2.91e-01	 9.06e+00	 5.63e+01	1	2	2	3	 0	 0
  215289	 7.58927	072.35	+01.22	302.1641	+35.0786	20067+3455 	20 06 45.3	+34 55 53	 3.19e-01	 3.13e-01	 4.59e+00	 6.32e+01	1	3	1	1	 0	 0
  207672	 9.94501	072.35	+07.15	295.8333	+38.1328	19415+3800 	19 41 33.4	+38 00 45	 9.88e-01	 3.66e-01	 4.00e-01	 3.21e+00	3	3	1	1	 0	 0
  214837	 7.62359	072.35	+01.61	301.7666	+35.2911	20051+3508 	20 05 10.4	+35 08 44	 2.50e-01	 6.04e-01	 7.08e+00	 2.78e+01	1	3	3	1	 0	 0
  209917	 8.98941	072.35	+05.54	297.5968	+37.3419	19485+3712 	19 48 34.6	+37 12 50	 2.50e-01	 3.20e-01	 5.61e-01	 4.69e+00	1	1	3	3	 0	 0
  210041	 8.94151	072.36	+05.46	297.6880	+37.3061	19489+3710 	19 48 56.4	+37 10 40	 2.50e-01	 2.99e-01	 7.11e-01	 4.85e+00	1	1	3	1	 0	 0
  214962	 7.60185	072.36	+01.50	301.8851	+35.2402	20056+3505 	20 05 38.7	+35 05 39	 3.93e-01	 4.40e-01	 6.61e+00	 2.19e+01	3	3	1	2	 0	 0
  218921	 8.03241	072.36	-02.05	305.4620	+33.2686	20198+3306 	20 19 52.8	+33 06 29	 3.58e-01	 2.50e-01	 5.19e+00	 2.12e+01	1	1	1	3	 0	 0
  214474	 7.65429	072.37	+01.91	301.4621	+35.4637	20039+3519 	20 03 57.7	+35 19 10	 5.55e-01	 4.26e-01	 2.80e+00	 2.20e+01	3	2	2	2	 0	 0
  215254	 7.57651	072.37	+01.26	302.1309	+35.1151	20066+3458 	20 06 37.4	+34 58 05	 3.68e-01	 2.50e-01	 2.90e+00	 6.45e+01	1	1	3	1	 0	 0
  222064	 9.79824	072.37	-05.59	308.8594	+31.2162	20334+3102 	20 33 24.0	+31 02 33	 9.86e-01	 3.95e-01	 5.31e-01	 4.69e+00	3	3	1	1	 0	 0
  212103	 8.18326	072.37	+03.84	299.4399	+36.4847	19559+3620 	19 55 54.8	+36 20 56	 2.86e-01	 5.36e-01	 1.21e+00	 1.45e+01	3	1	1	1	 0	 1
  208105	 9.73213	072.37	+06.84	296.1895	+37.9983	19429+3752 	19 42 58.5	+37 52 35	 2.54e-01	 2.50e-01	 9.85e-01	 3.19e+00	1	1	3	1	 0	 0
  210163	 8.88364	072.37	+05.38	297.7913	+37.2744	19493+3708 	19 49 21.1	+37 08 44	 2.55e-01	 2.50e-01	 5.33e-01	 7.05e+00	3	1	1	1	 0	 0
  221788	 9.56306	072.38	-05.22	308.5214	+31.4404	20320+3116 	20 32 03.3	+31 16 05	 8.30e-01	 2.84e-01	 5.55e-01	 5.88e+00	3	2	1	1	 0	 0
  220697	 8.79822	072.38	-03.87	307.2348	+32.2358	20269+3204 	20 26 56.1	+32 04 06	 8.11e-01	 2.92e-01	 1.11e+00	 5.79e+01	3	1	1	1	 0	 1
  214261	 7.66960	072.38	+02.09	301.2836	+35.5752	20032+3525 	20 03 15.1	+35 25 54	 4.30e-01	 1.13e+00	 7.50e+00	 6.51e+01	1	1	3	1	 0	 0
  219189	 8.09690	072.38	-02.29	305.7086	+33.1498	20208+3259 	20 20 51.7	+32 59 18	 3.84e-01	 2.50e-01	 2.27e+00	 6.34e+01	1	1	3	1	 0	 0
  214231	 7.67253	072.38	+02.12	301.2601	+35.5890	20031+3526 	20 03 09.5	+35 26 44	 4.14e-01	 3.83e-01	 2.75e+01	 8.70e+01	3	1	1	1	 0	 0
  222033	 9.74445	072.39	-05.53	308.8170	+31.2682	20332+3105 	20 33 13.9	+31 05 41	 3.18e-01	 4.09e-01	 5.13e-01	 2.32e+00	1	1	3	1	 0	 0
  218606	 7.90633	072.39	-01.74	305.1725	+33.4685	20187+3318 	20 18 43.7	+33 18 33	 4.12e-01	 4.98e-01	 4.32e+00	 1.84e+01	3	3	2	1	 0	 0
  221153	 9.09146	072.39	-04.44	307.7871	+31.9146	20291+3144 	20 29 08.0	+31 44 42	 5.19e-01	 2.50e-01	 7.83e-01	 4.56e+01	3	1	1	1	 0	 0
  219787	 8.31054	072.39	-02.85	306.2639	+32.8342	20230+3240 	20 23 04.3	+32 40 14	 4.19e-01	 2.60e-01	 8.84e-01	 8.24e+01	3	1	2	1	 0	 0
  220571	 8.70848	072.39	-03.72	307.0969	+32.3364	20263+3210 	20 26 23.2	+32 10 10	 7.80e-01	 2.48e-01	 5.77e-01	 7.77e+01	3	2	2	1	 0	 0
  220346	 8.58239	072.39	-03.46	306.8531	+32.4854	20254+3219 	20 25 25.0	+32 19 10	 4.38e+00	 2.66e+00	 5.92e+00	 4.84e+01	3	3	1	1	 0	 0
  216070	 7.52568	072.40	+00.58	302.8460	+34.7683	20094+3437 	20 09 28.2	+34 37 06	 1.04e+00	 1.15e+00	 6.56e+00	 5.95e+01	3	1	1	1	 0	 0
  220117	 8.46457	072.40	-03.21	306.6152	+32.6306	20244+3227 	20 24 28.2	+32 27 56	 4.77e-01	 2.50e-01	 8.24e-01	 7.48e+00	1	1	1	3	 0	 0
  209750	 9.03479	072.40	+05.69	297.4625	+37.4521	19480+3719 	19 48 02.6	+37 19 29	 2.55e-01	 2.50e-01	 1.08e+00	 6.02e+00	1	1	3	1	 0	 0
  220191	 8.49594	072.40	-03.29	306.6860	+32.5906	20247+3225 	20 24 45.1	+32 25 31	 5.22e-01	 1.76e-01	 6.18e+00	 5.83e+01	3	2	1	1	 0	 0
  213276	 7.83854	072.40	+02.89	300.4614	+36.0140	19599+3552 	19 59 58.8	+35 52 26	 1.65e+00	 7.04e-01	 1.28e+00	 2.00e+01	3	3	1	1	 0	 1
  218025	 7.74093	072.40	-01.16	304.6062	+33.8027	20164+3338 	20 16 28.5	+33 38 44	 9.72e-01	 4.16e-01	 6.14e+00	 7.44e+01	3	3	1	1	 0	 0
  215535	 7.52874	072.40	+01.04	302.3853	+35.0206	20076+3452 	20 07 38.2	+34 52 21	 1.95e+00	 9.83e-01	 4.14e+00	 4.91e+01	3	3	1	1	 0	 0
  214204	 7.66200	072.40	+02.15	301.2370	+35.6211	20030+3528 	20 03 04.0	+35 28 40	 2.98e+00	 3.36e+00	 2.75e+01	 7.49e+01	3	3	3	2	 0	 0
  207662	 9.93020	072.40	+07.18	295.8233	+38.1964	19415+3804 	19 41 31.1	+38 04 34	 6.54e-01	 2.50e-01	 4.46e-01	 2.99e+00	1	1	2	3	 0	 0
  214167	 7.65962	072.41	+02.19	301.2021	+35.6513	20029+3530 	20 02 55.7	+35 30 29	 1.26e+00	 7.92e-01	 2.75e+01	 7.87e+01	3	3	1	1	 0	 0
  216619	 7.52826	072.41	+00.13	303.3199	+34.5316	20113+3422 	20 11 21.4	+34 22 47	 1.09e+00	 5.02e-01	 3.07e+00	 4.87e+01	1	1	3	1	 0	 0
  211297	 8.43116	072.41	+04.52	298.7373	+36.8737	19531+3644 	19 53 07.1	+36 44 27	 4.13e-01	 2.50e-01	 8.40e-01	 8.86e+00	3	1	1	1	 0	 1
  218398	 7.81934	072.41	-01.52	304.9641	+33.6146	20179+3327 	20 17 54.0	+33 27 22	 5.19e-01	 3.70e-01	 1.75e+00	 4.39e+01	3	3	1	1	 0	 0
  217073	 7.56335	072.42	-00.26	303.7161	+34.3182	20129+3409 	20 12 56.0	+34 09 53	 5.09e-01	 8.05e-01	 9.39e+00	 6.19e+01	3	3	2	3	 0	 1
  210910	 8.57906	072.42	+04.85	298.3914	+37.0433	19517+3654 	19 51 44.5	+36 54 43	 1.13e+00	 3.73e-01	 4.85e-01	 5.61e+00	3	3	1	1	 0	 1
  215177	 7.53383	072.42	+01.36	302.0673	+35.2090	20063+3503 	20 06 22.3	+35 03 44	 5.44e-01	 6.93e-01	 6.51e+00	 7.46e+01	3	1	2	2	 0	 0
  214806	 7.56818	072.42	+01.67	301.7415	+35.3805	20050+3514 	20 05 04.5	+35 14 06	 1.20e+00	 1.64e+00	 1.09e+01	 3.76e+01	3	3	3	2	 0	 0
  209619	 9.07220	072.43	+05.80	297.3601	+37.5328	19476+3724 	19 47 38.2	+37 24 21	 1.64e+00	 8.41e-01	 4.17e-01	 3.60e+00	3	3	1	1	 0	 0
  219454	 8.13712	072.43	-02.51	305.9470	+33.0633	20218+3254 	20 21 48.7	+32 54 03	 4.60e-01	 3.12e-01	 2.93e+00	 2.01e+01	1	3	1	2	 0	 0
  219569	 8.18120	072.43	-02.62	306.0605	+32.9984	20222+3250 	20 22 15.8	+32 50 08	 2.50e-01	 1.72e-01	 2.00e+00	 6.87e+01	1	3	2	1	 0	 0
  220071	 8.39392	072.43	-03.12	306.5522	+32.7098	20242+3232 	20 24 13.2	+32 32 42	 3.42e-01	 3.02e-01	 1.01e+00	 7.48e+00	1	1	3	1	 0	 0
  215479	 7.49961	072.43	+01.10	302.3427	+35.0818	20074+3456 	20 07 28.1	+34 56 02	 4.89e-01	 3.43e-01	 2.92e+00	 5.05e+01	1	3	3	1	 0	 0
  221239	 9.09715	072.43	-04.51	307.8857	+31.9063	20295+3144 	20 29 31.6	+31 44 11	 3.96e-01	 2.50e-01	 8.77e-01	 3.91e+01	1	1	3	1	 0	 0
  219696	 8.21567	072.44	-02.73	306.1702	+32.9452	20226+3246 	20 22 42.0	+32 46 55	 8.81e-01	 3.16e-01	 6.01e+00	 3.89e+01	3	3	1	1	 0	 0
  217038	 7.53006	072.44	-00.21	303.6820	+34.3698	20127+3412 	20 12 47.9	+34 12 59	 8.55e-01	 2.55e-01	 5.99e+00	 6.29e+01	3	1	1	1	 0	 0
  215124	 7.51390	072.44	+01.41	302.0240	+35.2622	20062+3506 	20 06 12.0	+35 06 56	 9.16e-01	 6.72e-01	 3.57e+00	 4.71e+01	3	3	1	1	 0	 0
  222141	 9.77018	072.44	-05.63	308.9548	+31.2488	20337+3104 	20 33 46.9	+31 04 29	 3.83e-01	 2.50e-01	 4.00e-01	 3.71e+00	1	1	1	3	 0	 0
  218240	 7.73965	072.45	-01.35	304.8198	+33.7396	20173+3334 	20 17 19.6	+33 34 54	 1.37e+00	 6.36e-01	 5.45e+00	 4.50e+01	3	3	1	1	 0	 0
  219744	 8.21855	072.45	-02.76	306.2086	+32.9362	20228+3246 	20 22 51.2	+32 46 22	 2.62e-01	 3.52e-01	 3.17e+00	 3.89e+01	1	1	3	3	 0	 1
  218843	 7.91148	072.45	-01.93	305.4011	+33.4078	20196+3314 	20 19 38.4	+33 14 51	 3.43e-01	 2.50e-01	 1.62e+00	 1.59e+01	1	1	3	2	 0	 0
  217538	 7.58726	072.45	-00.66	304.1359	+34.1280	20146+3358 	20 14 36.3	+33 58 22	 9.71e-01	 3.13e-01	 6.47e+00	 7.58e+01	3	1	1	1	 0	 0
  218380	 7.76701	072.45	-01.47	304.9488	+33.6740	20178+3330 	20 17 50.4	+33 30 56	 7.11e-01	 3.22e-01	 5.24e+00	 7.02e+01	3	1	1	1	 0	 0
  215432	 7.48064	072.46	+01.16	302.2973	+35.1327	20072+3459 	20 07 17.3	+34 59 06	 8.92e-01	 6.37e-01	 2.30e+00	 9.16e+01	1	1	3	1	 0	 0
  213227	 7.80769	072.46	+02.97	300.4099	+36.1077	19597+3558 	19 59 46.6	+35 58 04	 2.25e+00	 1.07e+00	 1.25e+00	 1.64e+01	3	3	1	1	 0	 2
  215519	 7.47219	072.46	+01.08	302.3756	+35.0961	20076+3456 	20 07 36.0	+34 56 53	 3.81e-01	 3.51e-01	 3.06e+00	 4.87e+01	3	1	1	1	 0	 0
  218564	 7.80698	072.46	-01.64	305.1246	+33.5847	20185+3325 	20 18 32.4	+33 25 32	 1.52e+00	 6.48e-01	 3.52e+00	 6.12e+01	3	3	1	1	 0	 0
  211825	 8.21336	072.46	+04.13	299.1921	+36.7148	19549+3634 	19 54 55.8	+36 34 48	 1.68e+00	 7.60e-01	 1.18e+00	 1.25e+01	3	3	1	1	 0	 1
  209170	 9.22383	072.46	+06.12	297.0357	+37.7244	19463+3735 	19 46 20.8	+37 35 56	 6.78e-01	 2.50e-01	 6.77e-01	 4.84e+00	2	1	1	3	 0	 0
  219923	 8.27486	072.47	-02.93	306.3869	+32.8525	20235+3241 	20 23 33.8	+32 41 18	 5.92e-01	 3.72e-01	 5.15e+00	 6.63e+01	3	1	1	1	 0	 0
  215076	 7.49355	072.47	+01.48	301.9769	+35.3189	20060+3510 	20 06 00.8	+35 10 21	 1.67e+00	 8.87e-01	 7.19e+00	 4.06e+01	3	3	1	1	 0	 2
  212251	 8.06225	072.48	+03.78	299.5718	+36.5447	19564+3624 	19 56 26.5	+36 24 30	 3.85e-01	 2.50e-01	 1.35e+00	 1.32e+01	3	1	1	1	 0	 0
  212750	 7.91727	072.48	+03.38	299.9973	+36.3354	19581+3611 	19 58 08.1	+36 11 50	 2.83e-01	 3.11e-01	 2.01e+00	 3.02e+01	3	1	1	1	 0	 0
  215865	 7.44382	072.48	+00.80	302.6820	+34.9546	20088+3448 	20 08 49.2	+34 48 19	 5.38e+00	 2.42e+00	 4.15e+00	 6.48e+01	3	3	1	1	 0	 1
  221562	 9.26541	072.48	-04.86	308.2573	+31.7347	20310+3133 	20 31 00.4	+31 33 48	 3.31e-01	 2.50e-01	 3.93e-01	 8.60e+00	3	1	2	1	 0	 2
  221956	 9.56837	072.49	-05.37	308.7330	+31.4412	20329+3116 	20 32 54.0	+31 16 05	 2.50e-01	 2.50e-01	 5.09e-01	 5.71e+00	1	1	1	3	 0	 0
  217827	 7.60123	072.49	-00.91	304.4108	+34.0160	20157+3351 	20 15 42.0	+33 51 35	 3.76e-01	 2.50e-01	 2.68e+00	 5.63e+01	3	1	1	1	 0	 0
  215266	 7.46353	072.49	+01.33	302.1401	+35.2518	20066+3506 	20 06 39.8	+35 06 17	 1.29e+00	 1.15e+00	 2.06e+01	 1.52e+02	3	2	1	2	 0	 0
  216598	 7.44810	072.49	+00.19	303.3009	+34.6327	20112+3428 	20 11 17.0	+34 28 51	 1.29e+00	 6.86e-01	 4.78e+00	 4.64e+01	3	3	1	1	 0	 0
  219874	 8.22579	072.49	-02.86	306.3365	+32.9095	20233+3244 	20 23 21.8	+32 44 44	 4.81e-01	 2.46e-01	 5.27e+00	 6.95e+01	3	3	1	1	 0	 0
  215672	 7.43342	072.49	+00.97	302.5106	+35.0645	20081+3454 	20 08 08.3	+34 54 57	 1.09e+00	 6.56e-01	 5.77e+00	 6.86e+01	3	3	1	1	 0	 0
  217224	 7.49643	072.49	-00.35	303.8533	+34.3369	20134+3410 	20 13 28.9	+34 10 58	 4.64e-01	 7.05e-01	 6.63e+00	 4.45e+01	2	3	2	1	 0	 0
  219364	 8.02251	072.50	-02.37	305.8636	+33.1960	20214+3302 	20 21 28.9	+33 02 02	 2.50e-01	 9.74e-01	 1.53e+00	 6.24e+00	1	1	1	3	 0	 0
  216498	 7.43417	072.50	+00.30	303.2025	+34.6959	20108+3432 	20 10 53.5	+34 32 40	 8.17e-01	 4.83e-01	 5.84e+00	 4.98e+01	3	2	1	1	 0	 0
  214288	 7.56702	072.50	+02.15	301.3016	+35.7022	20033+3533 	20 03 19.6	+35 33 31	 4.33e-01	 9.24e-01	 6.07e+00	 8.24e+01	3	1	1	1	 0	 3
  212590	 7.94089	072.50	+03.51	299.8748	+36.4227	19576+3617 	19 57 38.9	+36 17 06	 3.02e-01	 2.50e-01	 1.27e+00	 2.23e+01	3	1	1	1	 0	 1
  212478	 7.97293	072.50	+03.60	299.7785	+36.4712	19572+3620 	19 57 15.9	+36 20 02	 7.06e-01	 2.88e-01	 2.03e+00	 1.64e+01	3	1	1	1	 0	 2
  211257	 8.39234	072.50	+04.61	298.7002	+36.9952	19529+3651 	19 52 58.4	+36 51 45	 1.16e+00	 2.73e-01	 6.96e-01	 8.84e+00	3	2	1	1	 0	 2
  213111	 7.80368	072.50	+03.10	300.3028	+36.2145	19593+3604 	19 59 21.1	+36 04 30	 2.92e+00	 1.17e+00	 1.20e+00	 1.52e+01	3	3	1	1	 0	 2
  221133	 8.94038	072.50	-04.33	307.7646	+32.0664	20290+3153 	20 29 02.8	+31 53 49	 2.50e-01	 2.50e-01	 6.28e-01	 5.30e+00	1	1	1	3	 0	 0
  218095	 7.64117	072.50	-01.17	304.6816	+33.8857	20167+3343 	20 16 46.7	+33 43 42	 1.86e+00	 7.47e+00	 5.69e+01	 8.09e+01	3	3	3	3	 0	 1
